artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,popularity
Twista,Kamikaze,Slow Jamz (feat. Kanye West & Jamie Foxx),1boHm9rjmvzxpJASd9dnGK,0.561,0.764,2,-6.645,0,0.138,0,0.157,0.598,145.158,212147,4,2004-01-27,59.0
Twista,Kamikaze,Sunshine (feat. Anthony Hamilton),5y8WWi1BaKHXfuln0XoIZs,0.926,0.888,11,-5.337,1,0.294,0,0.348,0.819,98.523,226013,4,2004-01-27,55.0
Dr. Dre,Kush,Kush - Main,0D5ER6UGojHVHVVJV0QdY8,0.424,0.866,7,-6.171,1,0.2,0.000139,0.0869,0.426,190.276,234243,4,2010-11-18,0.0
Lupe Fiasco,Lasers,The Show Goes On,4NTWZqvfQTlOMitlVn6tew,0.591,0.889,7,-3.839,1,0.115,0,0.155,0.65,143.067,239613,4,2011-03-04,72.0
Jadakiss,The Last Kiss,Letter To B.I.G.,0LmPiERziBqG7ZwpyyS8hi,0.348,0.748,1,-5.009,1,0.308,0,0.0898,0.57,159.082,239880,4,2009-01-01,26.0
Diddy - Dirty Money,Last Train To Paris (Deluxe),Ass On The Floor,0Jl4wH0plIEw8KJxv9SCBv,0.658,0.914,5,-3.3,0,0.103,0,0.108,0.499,127.012,244173,4,2010-01-01,0.0
Diddy - Dirty Money,Last Train To Paris (Deluxe),Angels,5qK2PIYHoRn6t4UddfhvCC,0.693,0.883,5,-3.97,0,0.321,0,0.469,0.672,83.281,311307,4,2010-01-01,0.0
Diddy - Dirty Money,Last Train To Paris (Deluxe),Strobe Lights,60CLys0U29NAllRg9csZIx,0.813,0.765,7,-4.719,0,0.252,5.49e-05,0.0386,0.615,122.047,213387,4,2010-01-01,0.0
Diddy - Dirty Money,Last Train To Paris (Deluxe),Hello Good Morning,2AP7us27DPh1lK2N77CJ34,0.629,0.958,2,-2.494,1,0.219,0,0.626,0.567,103.98,268693,4,2010-01-01,0.0
Kanye West,Late Registration,Touch The Sky,6mxyfdyF4LD7PctU3UNyjF,0.524,0.845,9,-4.912,1,0.348,0,0.434,0.553,98.388,236286,1,2005-01-01,0.0
Kanye West,Late Registration,Gold Digger,5XJJdNPkwmbUwE79gv0NxK,0.646,0.696,1,-5.572,0,0.342,0,0.0762,0.625,92.88,207401,4,2005-01-01,0.0
The Game,LAX (Deluxe),My Life,5j7loW7OXzJCFdhf6ejEAN,0.673,0.766,11,-5.018,1,0.349,0,0.0563,0.382,148.113,320893,4,2008-01-01,0.0
The Game,LAX (Deluxe),Dope Boys,7tQGJXCaNfZrDiQxXT63QS,0.733,0.813,1,-3.402,0,0.225,0,0.179,0.696,85.067,240507,4,2008-01-01,0.0
