,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Nas,Nastradamus,1999-11-23,You Owe Me (feat. Ginuwine),2VqjCBJ4AxpDTrNRKhL0Pw,49,Columbia,0.867,0.487,1,-14.044,1,0.266,0,0.108,0.696,110.026,287907,4,True,49.0,1.0,14.0,0yv3K62ndWgrZ0bbAEMzj5,album
1,Kanye West,The College Dropout,2004-02-13,All Falls Down,2cYZpcIV39X48RnOFM7w2V,0,Universal/Island Def Jam,0.643,0.717,8,-4.876,0,0.506,0,0.152,0.46,90.893,223507,4,True,0.0,1.0,4.0,3ff2p3LnR6V7m6BinwhNaQ,album
2,The Game,Doctor's Advocate,2006-01-01,Wouldn't Get Far,39yRhjDdSTP4A7VehxBXDb,58,Geffen,0.434,0.764,4,-5.367,0,0.276,0,0.425,0.702,92.605,251040,4,True,55.0,1.0,8.0,0GKZO3H9pNVgTuhwCJ7TJp,album
3,Lloyd Banks,The Hunger For More,2004-01-01,On Fire,0B2ZuTLZnWQ6gz8RlNwBu1,60,G-Unit Records,0.759,0.825,8,-4.289,1,0.22,0.00057,0.24,0.429,94.857,187280,4,True,58.0,1.0,4.0,0Nk2ClpAEN3dLyzpKDVE2v,album
4,OutKast,Big Boi & Dre Present...OutKast,2001-10-04,The Whole World (feat. Killer Mike),074v54tSEWLbq3Hu5wf6uh,51,Arista/LaFace Records,0.814,0.852,2,-6.176,1,0.401,1.32e-06,0.0288,0.717,184.682,295347,3,True,52.0,1.0,6.0,5OJKj1KGQEM1pnHtuvY0It,compilation
5,Memphis Bleek,534,2005-01-01,Dear Summer,5VkuqayHiiU5ZHyYEH4Oeb,53,Roc-A-Fella,0.548,0.893,6,-4.403,0,0.602,0,0.0842,0.667,172.241,173200,4,True,56.0,1.0,3.0,3toLn9BAnrscDsY8PoDLXM,album
6,Various Artists,Bad Boy's 10th Anniversary- The Hits,2004-03-09,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",6Wt5QBzHp9vdSLAFlvdnDQ,71,Bad Boy Records,0.713,0.471,1,-7.392,0,0.483,0,0.0308,0.781,199.765,285587,4,False,69.0,1.0,7.0,46JQVqJpOg8opDLUl1qHT1,compilation
7,Nas,It Was Written,1996-07-02,The Message,1AHfovSnGPVYKaahRtA0U6,68,Columbia,0.614,0.543,5,-7.178,1,0.374,3.28e-05,0.383,0.485,178.422,234093,4,True,65.0,1.0,2.0,78Fgb88MY0ECc4GVMejqTg,album
8,Hot Boys,Guerrilla Warfare,1999-07-27,I Need A Hot Girl,25CnqAR7fzAQbb2SVoSa0b,44,Cash Money,0.815,0.797,2,-6.304,1,0.186,0,0.641,0.65,96.006,292840,4,False,45.0,1.0,12.0,6eUYT38tLl7YwqZFJm1Ulb,album
9,N.O.R.E.,N.O.R.E,1998-07-07,Superthug,5qEzf9tBursDHplB2FhzVy,47,Tommy Boy Music,0.845,0.921,2,-4.711,1,0.184,9.75e-06,0.0419,0.367,95.84,300360,4,False,48.0,1.0,13.0,4h5Z2bERuSAICA4s66AhA1,album
