,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Doja Cat,Hot Pink,2019-11-07,Won't Bite,7k51pIqTGEHHZOnpI11Qq2,86,Kemosabe Records/RCA Records,0.807,0.783,5,-3.115,1,0.0965,0,0.14,0.592,127.996,195213,4,True,64.0,1.0,2.0,1MmVkhiwTH0BkNOU3nw5d3,album
1,Megan Thee Stallion,Suga,2020-03-06,Crying In The Car,3OxwuE0500Qzobf7uykMzy,78,300 Entertainment,0.778,0.562,1,-4.949,1,0.0552,0,0.0739,0.57,101.958,192142,4,True,52.0,1.0,8.0,6Lo6ylJg4qbFfxicPEOzMI,album
2,Omar Apollo,Unbothered,2018-01-06,Unbothered,4p1Er46wDz4zGQI7Sxor3W,53,Omar Apollo,0.641,0.487,2,-7.098,1,0.03,0.00223,0.133,0.322,108.933,124954,4,False,60.0,1.0,1.0,4FFxpvJlrYnJeOhcCIawKr,single
3,Alina Baraz,The Color Of You,2018-04-06,Electric (feat. Khalid),2mj7x99sNUsVHPBRK51zlG,70,Mom+Pop,0.599,0.396,10,-10.489,0,0.0392,2.19e-05,0.102,0.134,111.072,246327,4,False,71.0,1.0,9.0,6R8UeugxGTPvPwFkLVqUqs,album
4,Doja Cat,Purrr!,2014-08-05,So High,1yvSMyZn27M4wEslpSvB0D,60,MAU Records,0.621,0.585,10,-5.632,0,0.0457,1.91e-06,0.05,0.668,132.004,199747,4,True,62.0,1.0,3.0,6qLRpElUtErtN1VJa8tS5Y,single
5,Jessie Reyez,Kiddo,2017-04-21,Shutter Island,0LDFH1WLQ6NPEMH556LUGs,66,Jessie Reyez Profit Split,0.544,0.459,1,-7.684,0,0.245,0,0.0627,0.418,172.12,187240,4,True,59.0,1.0,2.0,2q7EwuXduuQGDJrPYPVFyw,album
6,Ashnikko,Tantrum,2020-03-06,Tantrum,3htJKHlAjUoRmNLheJ8uTV,60,Parlophone UK,0.777,0.787,9,-4.71,1,0.0732,0,0.0685,0.698,138.043,140011,4,True,67.0,1.0,1.0,5IRp7hBdLQOz5gB90M1hg0,single
7,Summer Walker,Over It,2019-10-04,Over It,0csmcZqM3uTKfjxehw0Lw2,80,LVRN/Interscope Records,0.63,0.437,4,-8.113,0,0.125,0,0.0885,0.455,131.996,131107,4,True,60.0,1.0,1.0,1qgJNWnPIeK9rx7hF8JCPK,album
8,Steve Lacy,Some,2016-10-31,Some,4riDfclV7kPDT9D58FpmHd,60,L-M Records,0.784,0.554,7,-6.417,1,0.03,0.254,0.0995,0.634,104.01,118393,4,True,67.0,1.0,1.0,4POiurFeB5bDsF9yBwOxbh,single
9,Kali Uchis,Isolation,2018-04-06,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,78,EMI,0.702,0.659,4,-6.766,0,0.13,0.00201,0.218,0.843,79.64,207455,4,False,76.0,1.0,13.0,4EPQtdq6vvwxuYeQTrwDVY,album
10,Doja Cat,Amala (Deluxe Version),2019-03-01,Game,1MuN3LGtM2tNsqH9qC47tG,72,Kemosabe Records/RCA Records,0.75,0.783,11,-5.612,0,0.0524,0.00406,0.143,0.595,120.016,195760,4,True,51.0,1.0,9.0,3wOMqxNHgkga91RBC7BaZU,album
