,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Lil Wayne,Tha Carter IV,2011-01-01,6 Foot 7 Foot,6BCs8vxnGgKL9eMCOrG2wm,54,CM/Republic,0.365,0.751,2,-5.429,1,0.304,0,0.318,0.604,79.119,248587,4,True,51.0,1.0,4.0,1MGEMBqM3v8OUM2glv7MSx,album
1,Luniz,Luniz - The Lost Tapes 2,2009-03-03,I Got 5 On It,1rS31P08Cn64Rn7pnMh5S5,2,Jake Records,0.631,0.687,10,-7.87,0,0.332,0,0.139,0.639,174.098,245693,4,True,0.0,1.0,15.0,1X2CbeGk2o6libFU4M5Rp1,album
2,Drake,0 To 100 / The Catch Up,2013-07-14,0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,65,Cash Money Records/Young Money Ent./Universal Rec.,0.559,0.716,11,-3.964,0,0.39,0,0.252,0.504,176.618,275227,4,True,72.0,1.0,1.0,5OkxLN5XaE9rLbgK2FuKBE,single
3,Fetty Wap,Fetty Wap (Deluxe),2015-09-25,Trap Queen,5iNRPN7oYQvdB9AmeSW6d3,65,300 Entertainment/RGF Productions,0.746,0.873,7,-3.803,1,0.128,0,0.354,0.817,148.075,222093,4,True,68.0,1.0,1.0,4DM34NuOlqu5S8PZAje4iF,album
4,Chief Keef,Young & Flexin,2013-10-22,I Don't Like (Remix),2W4VOh7SNDK1OFzvT3H3FU,0,Street Dreams,0.486,0.564,6,-6.93,0,0.303,0,0.306,0.604,132.026,279040,4,True,0.0,1.0,1.0,3y72a7aFc9T90rStsJ30T1,album
5,Kendrick Lamar,DAMN.,2017-04-14,HUMBLE.,7ujx3NYtwO2LkmKGz59mXp,2,Universal Music Group,0.906,0.625,1,-6.779,0,0.0903,3.23e-05,0.0975,0.423,150.018,177000,4,True,2.0,1.0,8.0,7wbJhbCvhPfbK1CLAkpq25,album
6,The Weeknd,Beauty Behind The Madness,2015-08-28,Often,4PhsKqMdgMEUSstTDAmMpg,85,Universal Republic Records,0.572,0.631,7,-9.836,0,0.0476,0,0.135,0.0713,134.078,249040,4,True,78.0,1.0,4.0,0P3oVJBFOv3TDXlYRhGL7s,album
7,Eminem,The Eminem Show,2002-05-26,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,85,Aftermath,0.548,0.847,1,-3.237,1,0.186,0,0.0816,0.1,171.447,297787,4,True,84.0,1.0,18.0,2cWBwpqMsDJC1ZUwz813lo,album
8,Eazy-E,It's On (Dr. Dre) 187um Killa,1993-11-05,Real Muthaphuckkin G's,7q6lr1W6cmGWijl5kCv5RG,55,Ruthless Records,0.735,0.797,11,-4.611,0,0.285,0,0.62,0.731,170.444,332627,4,True,47.0,1.0,2.0,1SZNTl621XOcjFwOKtVy56,album
9,Various Artists,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",2013-06-21,Grindin',5kCge8GNxIzilGJtWyd73f,0,Sony Music Entertainment,0.689,0.784,1,-4.566,1,0.314,2.21e-06,0.0901,0.467,191.545,266200,4,True,0.0,1.0,62.0,6oX0gpxTxSrCZ1QJikDhMN,compilation
