,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Shawnna,Block Music,2006-01-01,Candy Coated,5fm1pOaweTpahPKeATApOQ,37,Def Jam South,0.848,0.782,1,-4.295,1,0.224,1.96e-05,0.058,0.542,74.034,273200,4,True,20.0,1.0,5.0,60JjM21U15tdaMbiYv3naR,album
1,Shawnna,Block Music,2006-01-01,Gettin' Some,4uNisev7PGUAixBOagpgyY,37,Def Jam South,0.823,0.586,4,-6.044,0,0.336,0.0,0.0605,0.611,78.054,202760,4,True,41.0,1.0,14.0,60JjM21U15tdaMbiYv3naR,album
2,C-Murder,Bossalinie,1999-01-01,Closin' Down Shop,7dFbivUJng8jnqhBWd2q90,31,Priority Records,0.756,0.613,6,-7.913,0,0.414,0.0,0.239,0.555,188.88,173827,4,True,13.0,1.0,27.0,5LslXzJNy9DPL961DtDqXe,album
3,The Neptunes,The Neptunes Present... Clones,2003-08-19,It Wasn't Us (feat. I-20),078M9EJ208U6CXhpC50u4T,59,Arista,0.886,0.603,11,-5.59,0,0.191,0.0,0.159,0.659,125.734,214093,4,True,27.0,1.0,4.0,0AO5ibcO686oWXf96D83pM,album
4,I-20,Self Explanatory,2004-01-01,Break Bread,0AjPQY8crxHWmL54529awK,26,Capitol Records,0.567,0.879,9,-6.668,0,0.436,0.0,0.184,0.723,108.115,277853,5,True,23.0,1.0,6.0,7xReWbNo34AFpZVbFdGzPE,album
5,Young Dro,FDB,2013-03-26,FDB,27Har4Jai5ktc37ptEkINv,0,eOne Music,0.941,0.777,5,-4.808,1,0.206,0.0,0.0829,0.642,125.055,220320,4,True,0.0,1.0,1.0,5vZ4Z4oxBN0TuflfVvqXqy,single
6,Project Pat,Mista Don't Play: Everythangs Workin',2001-02-13,Ooh Nuthin',3V8r1PbmQuCq5diFv2AawZ,55,Hypnotize Minds Productions,0.885,0.642,2,-6.493,1,0.284,0.0,0.101,0.655,158.076,234173,4,True,36.0,1.0,15.0,4QzaueQPQa0lqrMmQoh4v0,album
7,Various Artists,The Stove is still Hot,2009-07-03,I Think I'm Fallin,0WD0Weq4VCNyIX1dcNadm0,37,DJ NETWORKS,0.675,0.355,2,-7.138,1,0.433,0.0,0.227,0.131,132.15,208293,4,True,7.0,1.0,19.0,55qKIiXeOWdDKaeiKRYEmT,compilation
8,Gangsta Boo,Enquiring Minds,1998-09-29,Where Dem Dollas At (feat. DJ Paul & Juicy J),7foHBs2UUa9YX4UWQlOfiC,37,Hypnotize Minds Productions,0.898,0.56,0,-8.891,1,0.117,0.0,0.108,0.465,146.458,269067,4,True,42.0,1.0,8.0,5NO9yCV2HynW4xBxIKrEYp,album
9,Lil Keke,Chronicles,2008-06-03,Chunk Up the Deuce (feat. U.G.K. & Paul Wall),5i0n3xtjuVFLp646joI9XS,0,Hustletown,0.929,0.61,11,-6.064,0,0.321,0.0,0.0958,0.868,136.081,299733,4,True,0.0,1.0,14.0,6jVhEnA5IcohdNVJZsvzDP,album
