,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Various Artists,Kanye West Presents Good Music Cruel Summer,2012-01-01,Clique,7eW9cHOAHmYqphs5tWXETw,58,Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,0.71,0.555,9,-5.942,0,0.295,0,0.227,0.303,109.204,293613,5,True,48.0,1.0,2.0,0cGgwoMge4N2zpTiP2GU6d,compilation
1,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",2012-10-24,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",4c7mwtU8HGuLUVqRX5HU7F,0,A$AP Worldwide/Polo Grounds Music/RCA Records,0.854,0.703,1,-7.127,1,0.285,2.4e-06,0.109,0.681,95.957,237187,4,True,0.0,1.0,1.0,0mJHuCLGhGUE49P9mnzGMF,single
2,Big Sean,Guap,2012-01-01,Guap,1wcWdMlLjzp7Rx25JJN7c4,0,Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,0.65,0.741,1,-5.842,1,0.184,0,0.422,0.575,146.175,271760,4,True,0.0,1.0,1.0,2lCM0giF5meapslmQwWsrh,single
3,T.I.,No Mercy,2010-12-03,That's All She Wrote (feat. Eminem),4UwtMoKBvYi0mMbH2ZI3uB,0,Grand Hustle/Atlantic,0.496,0.785,7,-3.472,1,0.306,0,0.0941,0.357,170.02,318360,4,True,0.0,1.0,5.0,3mlWm7YnHF2DZmNP669oVS,album
4,JAY-Z,The Blueprint 2 The Gift & The Curse,2002-11-12,The Watcher 2,23qpfRkkOK4IrbVxIHQQIC,63,Roc Nation / Jay-Z,0.929,0.734,11,-2.889,0,0.289,0,0.108,0.751,99.002,356000,4,True,48.0,1.0,3.0,5xHStEOG8PsbzNQb7LkxZU,album
5,Various Artists,R'n'B Allstars,2003-01-13,Break Ya Neck,2QbMbzEo18oUOD7GF95lWW,35,BMG Entertainment,0.826,0.79,4,-7.555,0,0.242,0.00251,0.0614,0.739,83.014,231667,4,True,40.0,1.0,4.0,1JofuqYnx14TjAV24GWk5i,compilation
6,Bad Meets Evil,Hell: The Sequel (Deluxe),2011-01-01,Take From Me,7n4PRAJjYzGFr1DR3KHYMU,70,Shady Records,0.693,0.784,1,-5.286,1,0.202,0,0.334,0.61,146.843,205600,4,True,51.0,1.0,8.0,5abCMGtyHwpOr9cEbwfP1P,album
7,Wale,Ambition,2011-10-28,Ambition (feat. Meek Mill & Rick Ross),5tZmLjU4vhPlJb12IweZuB,66,MMG/Warner Records,0.42,0.744,8,-5.033,1,0.396,8.54e-06,0.192,0.324,161.792,302547,4,True,60.0,1.0,11.0,0jCVC8ndYYOooEY2YTO1l6,album
8,Kanye West,My Beautiful Dark Twisted Fantasy,2010-11-22,So Appalled,6K07Ahf6V7CAQn0ikrOztl,82,Roc-A-Fella,0.64,0.754,1,-5.873,0,0.283,0,0.63,0.584,87.15,397667,4,True,62.0,1.0,7.0,20r762YmB5HeofjMCiPMLv,album
9,Wu-Block,Wu-Block,2012-11-27,Bust Shots,52xtye9ekmwY1V7qu9kIUz,0,eOne Music,0.844,0.742,9,-5.804,0,0.22,0,0.0677,0.818,96.995,201693,4,True,0.0,1.0,15.0,6yV8YmewWEObxaZG9wTZ7q,album
10,Nas,Greatest Hits,2007-11-06,I Can,5euVWVKZIZQNdqSMmg5L9Y,42,Columbia,0.839,0.893,1,-3.963,0,0.198,0,0.0545,0.699,95.314,254600,4,False,39.0,1.0,13.0,0LnjgQoLmLfPFi30J7JtDS,compilation
11,2Pac,All Eyez On Me,1996-02-13,Ambitionz Az A Ridah,3ssX20QT5c3nA9wk78V1LQ,29,Death Row Records,0.801,0.908,2,-6.554,1,0.221,0.000655,0.0698,0.805,87.279,278387,4,True,9.0,1.0,1.0,4CzT5ueFBRpbILw34HQYxi,album
