,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Cakes da Killa,Hedonism,2016-10-21,Keep It Goin' (feat. Calore),2tepS32WucyzzbdusBb5aU,34,Ruffians,0.674,0.839,10,-5.473,0,0.318,2.54e-05,0.239,0.378,124.838,190013,4,False,25.0,1.0,2.0,6Od4fzT5IooQiJhnfkfD02,album
1,Cousin Stizz,Monda,2016-08-05,500 Horses,2uyqb1Q8FMvFrygHt99uan,46,RCA Records Label,0.884,0.55,2,-7.07,1,0.239,0.0,0.103,0.606,105.99,250413,4,False,45.0,1.0,3.0,6CQpOSvNBdYBp9htvFJrSz,album
2,Eminem,Curtain Call: The Hits,2005-12-06,Cleanin' Out My Closet,6bXzKob0VMX9X1HhodutiC,59,Aftermath,0.907,0.766,9,-4.742,0,0.173,0.0,0.11,0.875,147.996,298960,4,True,53.0,1.0,14.0,1zUY4PAFrNUOCeaEBrEHzh,compilation
3,Travis Scott,Birds In The Trap Sing McKnight,2016-09-16,pick up the phone,20dP2DaMHIAmwWAbp7peSr,85,Epic/Grand Hustle,0.711,0.739,7,-3.804,0,0.129,0.0,0.226,0.43,136.919,252256,4,True,73.0,1.0,11.0,42WVQWuf1teDysXiOupIZt,album
4,Lil Keke,Only The Strong Survive,2008,I'm A G,13xZraivMCbi89lALOn4Rz,35,Big Kanaka - SoSouth,0.505,0.729,9,-4.558,0,0.335,0.0,0.727,0.393,77.561,291200,4,True,42.0,1.0,20.0,4I7OIPt9AanFhLkUI8iBYs,album
5,JAY-Z,Collision Course (Deluxe Version),2004-11-30,Points of Authority / 99 Problems / One Step Closer,65eohvrL4ttjA7EfFkQOhX,67,Warner Records/Roc-A-Fella,0.547,0.951,1,-4.079,0,0.151,1.14e-05,0.0862,0.51,95.031,295827,4,True,59.0,1.0,6.0,5NH94cATqx5fjBE794xZLy,single
6,G-Unit,Beg For Mercy,2003-01-01,Poppin' Them Thangs,4E5IFAXCob6QqZaJMTw5YN,68,G-Unit Records,0.769,0.818,6,-1.385,0,0.192,0.0,0.0787,0.918,88.017,240800,4,True,70.0,1.0,2.0,0BolFrIcCXXppUK50ETvgy,album
7,Rico Nasty,Smack a Bitch,2018-01-17,Smack a Bitch,1nrsFfACPG4Hnw5AuOpCND,66,Sugar Trap,0.703,0.7,2,-2.417,1,0.221,0.0,0.115,0.34,169.861,138353,4,True,72.0,1.0,1.0,3Ja54bCouLvrDLt3XKzMii,single
8,Bhad Bhabie,Gucci Flip Flops (feat. Lil Yachty),2018-03-26,Gucci Flip Flops (feat. Lil Yachty),042nVrQvpEVrsrW6yeeHB2,0,B.H.A.D. Music,0.822,0.622,8,-7.33,1,0.314,0.0181,0.114,0.18,160.066,150000,4,True,0.0,1.0,1.0,23IIGc63s7LtZDcrnJfqXN,single
9,Yo Gotti,I Still Am,2017-10-27,Rake It Up (feat. Nicki Minaj),4knL4iPxPOZjQzTUlELGSY,64,Epic/CMG,0.91,0.444,1,-8.126,0,0.344,0.0,0.137,0.53,149.953,276333,4,True,70.0,1.0,4.0,1tSsb3t0pqVVONvBJivoT9,album
10,XXXTENTACION,Revenge,2017-05-16,Look At Me!,6eYxmK9fdL4hwLnXG2zY3s,78,Bad Vibes Forever / EMPIRE,0.763,0.726,1,-6.405,1,0.282,0.0,0.0976,0.349,139.059,126346,4,True,66.0,1.0,1.0,3vpXJ54S3MXLyzysw8qq7c,compilation
11,XXXTENTACION,17,2017-08-25,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,89,Bad Vibes Forever / EMPIRE,0.872,0.391,0,-9.144,0,0.242,4.13e-06,0.297,0.437,134.021,119133,4,True,88.0,1.0,2.0,5VdyJkLe3yvOs0l4xXbWp0,album
