,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Coolio,Gangsta's Paradise,1995-11-07,Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,75,Tommy Boy Music,0.647,0.514,8,-10.05,1,0.0593,0,0.398,0.387,79.974,240693,4,False,82.0,1.0,2.0,0fYctMs4EvoEqzDh8Kmg5g,album
1,Various Artists,Jackass The Movie (The Official Soundtrack),2013-01-01,Baby Got Back,28yT0sZlkqStSByo1j58J4,0,Universal Music Group,0.936,0.76,1,-7.873,1,0.282,3.39e-06,0.0394,0.657,128.479,260867,4,True,0.0,1.0,12.0,5ebuKilSgCLSvf0fO0q5bq,compilation
2,Various Artists,Bad Boy 20th Anniversary Box Set Edition,2016-08-12,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,1lKS7SZQ7r5vOChLwJurmm,63,Rhino Atlantic,0.662,0.808,1,-4.749,1,0.271,0,0.169,0.909,87.644,293667,4,False,54.0,3.0,15.0,52TqKxbJkOBsbjKxlKgLwu,compilation
3,DJ Jazzy Jeff & The Fresh Prince,Greatest Hits,1998,The Fresh Prince of Bel-Air,0UREO3QWbXJW3gOUXpK1am,57,Jive,0.824,0.684,10,-7.354,0,0.0935,1.45e-06,0.0481,0.87,101.152,177267,4,False,63.0,1.0,10.0,36F8dqIQunGUWbsOPWQSjz,compilation
4,A$AP Ferg,Floor Seats II,2020-09-25,Dennis Rodman (feat. Tyga),0E72UaOjGEOHJliDjq6Ivw,52,A$AP Worldwide/Polo Grounds Music/RCA Records,0.741,0.537,1,-6.797,1,0.143,0,0.146,0.233,80.454,198307,4,True,54.0,1.0,2.0,7o1zifwaRKlcJ7gmmXCyNW,album
5,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),2020-09-25,FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,77,Cactus Jack / Epic,0.835,0.699,8,-5.405,0,0.277,0,0.195,0.547,154.981,202795,4,True,84.0,1.0,1.0,4Bp7LKA5Afo1PRoXuQe8qZ,single
6,Charm La'Donna,Westside,2020-11-20,Westside,0fTRjVg3CfeJD0fcAL79lG,31,Epic,0.625,0.762,5,-4.797,0,0.147,0,0.159,0.289,92.919,176845,4,True,38.0,1.0,1.0,0JMjjHDtbvBAAG04GuoGqD,single
7,iLoveMemphis,Hit the Quan,2015-10-09,Hit the Quan - Original Version,4OjuzM3rTWp3q60mEldNSF,58,"Records Label, LLC",0.741,0.488,8,-8.253,1,0.362,0,0.0488,0.625,160.018,181081,4,False,65.0,1.0,1.0,3fiDZIrP7VOB1xNVeYPIpo,single
8,24kGoldn,Mood (feat. iann dior),2020-07-24,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,92,Records/Columbia,0.7,0.722,7,-3.558,0,0.0369,0,0.272,0.756,90.989,140526,4,True,99.0,1.0,1.0,4YMnOf4a7obOcN1Gy2QEuM,single
9,Eli Fross,CESAR,2020-11-25,GOAT FREESTYLE (feat. Sleepy Hallow),7bUgkElvOK9jkph6stj7JA,53,Winners Circle/RCA Records,0.873,0.517,1,-7.669,1,0.348,0,0.15,0.919,130.067,147779,4,True,50.0,1.0,4.0,3RzMoqM47QjGMmeyQQQxDd,album
10,StaySolidRocky,Party Girl (Remix),2020-07-10,Party Girl (Remix),0XkmeG97T4mtYlWRJcrxec,63,Columbia,0.752,0.375,6,-10.157,0,0.204,0,0.175,0.591,129.995,147673,4,True,70.0,1.0,1.0,0K3zXpDvZE6iKNMwxoj7rY,single
11,Chris Brown,Slime & B,2020-05-08,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,82,Chris Brown Entertainment/300 Entertainment/RCA Records,0.755,0.578,0,-8.932,0,0.145,0,0.25,0.581,94.148,176960,4,True,88.0,1.0,2.0,7fZKtzZAsfH0kzeTivu5TG,album
12,Tyga,Money Mouf,2020-09-18,Money Mouf,2ab4xGVMBb14NpPrj4xDq5,64,Columbia/Last Kings Records,0.968,0.793,10,-4.645,0,0.256,0,0.0814,0.793,105.012,211704,4,True,71.0,1.0,1.0,6dn11fbycq7fhBCfS8GBRG,single
13,G-Eazy,Down,2020-09-04,Down,3tLhjMOfbdRGQNudmIABp4,59,BPG/RVG/RCA Records,0.797,0.853,0,-4.269,1,0.105,0,0.118,0.595,98.043,217867,4,True,66.0,1.0,1.0,4fN30wOcfdGOYY1BYDqUHD,single
14,DJ Khaled,GREECE (feat. Drake),2020-07-16,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,79,OVO/We The Best/Epic,0.695,0.343,5,-10.798,1,0.0432,1.04e-06,0.107,0.229,85.84,218902,4,True,86.0,1.0,1.0,3O6ywzP5LE5msmuBBTpaIN,single
15,Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,88,Atlantic/KSR,0.935,0.454,1,-7.509,1,0.375,0,0.0824,0.357,133.073,187541,4,True,95.0,1.0,1.0,2ogiazbrNEx0kQHGl5ZBTQ,single
16,WhoHeem,Lets Link,2020-08-20,Lets Link,6fMzgFFGzWCwiHMzDzNpp5,66,Arista Records/Columbia Records,0.839,0.683,10,-9.232,0,0.165,0,0.241,0.522,120.003,159955,4,True,73.0,1.0,1.0,6M562iDRj7JIB2nvrahv0O,single
17,Future,High Off Life,2020-05-15,Life Is Good (feat. Drake),1K5KBOgreBi5fkEHvg5ap3,79,Epic/Freebandz,0.795,0.574,2,-6.903,0,0.487,0,0.15,0.537,142.053,237918,4,True,78.0,1.0,17.0,4bNPOFOzxGhF5jhfIK6lit,album
18,ROSALÍA,TKN (feat. Travis Scott),2020-05-28,TKN (feat. Travis Scott),4w47S36wQGBhGg073q3nt7,77,Columbia,0.776,0.509,0,-6.266,0,0.467,1.49e-06,0.115,0.485,94.634,129371,4,False,84.0,1.0,1.0,4KEOAWBMpvJrIZ7tQfx44i,single
