,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Abigail Asante,The Situation,2019-01-08,The Situation,71VAV2b0VIne6dw9Ypn6Tk,26,Frankincense & Myrrh Music Group,0.775,0.691,3,-5.007,0,0.321,0,0.115,0.47,72.533,167403,3,True,33.0,1.0,1.0,4E64y31TICYiMHKmjKLZ1E,single
1,Brixx,Bad Gyal Bounce,2020-10-30,Bad Gyal Bounce,5wgA9D4aePgcyHamLdDR34,15,NSM RECORDS,0.682,0.488,2,-10.6,1,0.533,0,0.102,0.492,145.042,253241,4,True,21.0,1.0,1.0,0eXQcPDwWkrmzrNPgGtp4A,single
2,Abigail Asante,BIG FACTS,2020-10-14,BIG FACTS,4dNEyHhumr2AbGE0ZN4Fea,15,NSM RECORDS,0.74,0.8,11,-3.964,0,0.461,0,0.123,0.679,142.939,124196,4,True,21.0,1.0,1.0,1f59aVCMTE1pSAOYsSWZel,single
3,Abigail Asante,Liar,2020-07-24,Liar,69hH1rzhkjEe7vS9NIRcS3,15,Moves Recordings,0.73,0.649,11,-10.222,0,0.417,2.25e-06,0.141,0.683,74.491,165600,4,True,21.0,1.0,1.0,4sZ5F0srwexP3JBJBC6mhZ,single
4,Abigail Asante,Stupid,2020-04-24,Stupid,2AfTswX8ZGYTJvvF5AtAut,12,MOVES Recordings,0.748,0.45,10,-13.26,0,0.542,5.66e-05,0.0958,0.35,146.308,171005,4,True,18.0,1.0,1.0,1p8CHkS2ibTG2tnjLqTMyX,single
5,Br3nya,Maldives,2020-11-13,Maldives,3VI6cDbns6zLDwHUDGyyPn,21,Rah Boy Music,0.943,0.655,11,-8.878,0,0.32,0,0.0742,0.778,100.038,165600,4,True,28.0,1.0,1.0,7gsYzNRc2WVVtmyteA06hb,single
6,Br3nya,Plenty (Too Trendy),2020-04-09,Plenty (Too Trendy),2FjZhlWpuCAnAnTJOfxulV,36,Virgin EMI,0.937,0.53,0,-10.829,1,0.161,0,0.345,0.524,108.019,167523,4,True,43.0,1.0,1.0,6XSJg5zvbDjPydgMetheYE,single
7,Br3nya,One Mic Freestyle,2020-10-02,One Mic Freestyle,3hWkDxYijO7N4DMXaf9rIa,19,Rah Boy Music,0.596,0.663,10,-6.046,0,0.359,0,0.237,0.483,141.436,149371,4,True,25.0,1.0,1.0,51DW5HyKWWQDWokQFUINBl,single
8,Darkoo,Juice,2019-04-26,Juice,4gsVm153QpiQgtGKQ23KRd,24,Rah Boy Music,0.844,0.543,7,-7.519,1,0.096,0,0.108,0.586,105.138,212571,4,False,31.0,1.0,1.0,6GTJfHWpCVxEY4nZ0TCqR1,single
9,Br3nya,Sis,2019-10-18,Sis,32nHsL23f8ZIuSORNesGHd,34,Rah Boy Music,0.633,0.759,8,-5.448,1,0.247,0,0.0587,0.692,104.631,185662,4,False,41.0,1.0,1.0,4ZsvqzSng2FpOrskrpz1Bb,single
