,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,FRVRFRIDAY,Nana,2020-04-24,Nana,5RIYuJdysFUaVPgnuQd2kK,47,FRVR,0.742,0.36,1,-11.285,0,0.145,0,0.0772,0.347,126.078,132928,4,True,54.0,1.0,1.0,6O5RhAdvWCHthkiYLHHqK6,single
1,Bad Boy Chiller Crew,450,2020-07-03,450 - 2020 Mix,4yKmxrOMbIHC2psOHVwVVS,52,House Anxiety,0.878,0.695,6,-7.713,0,0.206,0,0.397,0.924,129.949,256615,4,True,49.0,1.0,1.0,03UFqNARlLD0E2P8V45vck,single
2,badmonsham,Sometimes,2020-09-09,Sometimes,4oSO3jhTJKeW1Jr7CjkMaQ,31,Daycare Records,0.747,0.656,6,-6.681,0,0.439,0,0.0739,0.205,159.995,206000,4,True,38.0,1.0,1.0,5eT3zyvyjyKCz043EHt4DV,single
3,Jaypitts,Windows,2020-08-28,Windows,1h27BIK3pnULp2uH7rSAEd,43,JayPitts,0.795,0.729,5,-7.051,0,0.27,0,0.108,0.841,171.815,178885,4,True,50.0,1.0,1.0,3UYW4bUdIkgCMcVXjHV9m3,single
4,CHLOBOCOP,NARCOTICS,2019-05-31,NARCOTICS,6GDTtSOLeowRa41LQiUVmE,30,Coldpress Music,0.776,0.377,2,-8.408,1,0.0374,6.01e-06,0.0702,0.261,97.043,141031,4,True,37.0,1.0,1.0,7CIQqXABKL7eOn8InbZXXw,single
5,Zack Cokas,Meddling Kids,2020-05-22,Meddling Kids,4I5anKd2L7n2jAN2oGNN2z,23,Young Cack,0.747,0.641,1,-7.238,1,0.302,6.08e-06,0.102,0.606,160.067,171178,4,True,29.0,1.0,1.0,4w9VaB0GfbBnogoAwHPb3y,single
6,Nilo Blues,No Risk Involved,2020-01-29,No Risk Involved,3EyuXP4tmLHCpmtOMMng8h,0,Blue Like Nilo,0.582,0.763,8,-4.771,0,0.0628,3.63e-06,0.322,0.434,75.04,168293,4,True,0.0,1.0,1.0,0EipM8asYlqpbvyiJjfyT4,single
7,BIGBABYGUCCI,Dead After Teen Spirit,2020-05-08,Can't Feel Shit,7LmFgarIU7Xpaveh1cA6WB,39,Forever World Records,0.889,0.419,1,-8.308,1,0.14,0,0.0716,0.669,130.027,162482,4,True,46.0,1.0,4.0,1BvJuODGwH5vSsrKSwOBtt,single
8,Ncognita,Clap Clap,2020-04-03,Clap Clap,3dmefWo2cmGw7lZbTpDIYn,32,Ncognita,0.919,0.64,9,-9.249,1,0.485,6.43e-05,0.106,0.783,93.04,87824,4,True,38.0,1.0,1.0,5QhMBkd1A2EXbLRi1Dv5lu,single
9,18veno,R4z,2020-06-28,1942,0hMgdCdV5K6YLWLAs3MuQG,39,BoyMeetSpace,0.87,0.539,5,-6.487,1,0.455,0,0.0876,0.583,155.955,100752,4,True,44.0,1.0,1.0,6qivs0MI1sbMSauIsVzUyF,single
10,Cartel Madras,WORKING,2020-08-28,WORKING,04B4K9LHKOkV88d3JFLLyk,23,Royal Mountain Records,0.878,0.475,6,-12.055,1,0.23,0.000383,0.106,0.657,124.984,157411,4,True,30.0,1.0,1.0,42ZoSiOPSzQcRa3oKKLGgd,single
11,Peter $un,Scumbaby,2020-10-29,Work,6Uyvt0kCp52WEelHP7Amj2,43,Mind of a Genius,0.679,0.606,2,-7.473,1,0.121,0.000909,0.126,0.543,180.023,197480,4,True,48.0,1.0,1.0,6UnMfGsqgHSRFyS194OUr4,album
12,Lil Sil,91,2020-01-24,91,2ws242sJGyVjrknO0417JB,55,Nine One,0.787,0.537,2,-8.628,1,0.065,0,0.13,0.481,100.028,115511,4,True,62.0,1.0,1.0,7g0cUltDswRPXwrv3nVMbo,single
