,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Bhad Bhabie,15,2018-09-18,Geek'd (feat. Lil Baby),3nQQotHU6YtE0Z4kiMNoW8,71,B.H.A.D. Music,0.855,0.562,9,-7.099,0,0.299,7.89e-06,0.112,0.193,164.053,133691,4,True,71.0,1.0,5.0,5I0eRWD0PLOmswFHZhcD12,album
1,Vantage,Metro City,2015-01-29,50//50,36lNDeaRf8F8aYaP0zaHpm,32,The Nightclub Collection,0.837,0.7,7,-7.212,1,0.0506,0.85,0.0926,0.4,124.139,246167,4,False,38.0,1.0,1.0,38xbAu3iEETF1Z9RiBlkTf,album
2,Rod Wave,Pray 4 Love,2020-04-03,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,77,Alamo Records,0.904,0.252,5,-17.54,0,0.11,0.0,0.104,0.227,117.994,167184,4,True,78.0,1.0,6.0,5zCvAq0MLqUv0vE96iMbv2,album
3,Jaah SLT,Tuff,2019-04-07,Tuff,5AujkwFB6bDb3WOleq6Lsj,0,1117213 Records DK,0.939,0.229,5,-13.913,1,0.173,0.0,0.0639,0.546,99.946,124996,4,True,1.0,1.0,1.0,2lO8lL49JC9ZlzmtBIZ0Mx,single
4,Sleepy Hallow,Deep End Freestyle,2020-04-03,Deep End Freestyle,4zTPYAf5scZdp0LnwPPeWK,68,Winners Circle Entertainment Inc / EMPIRE,0.876,0.479,4,-6.687,0,0.44,0.0,0.102,0.776,133.858,115200,4,True,75.0,1.0,1.0,39sypxAyq6TZFqz8CMK3tJ,single
5,24kGoldn,DROPPED OUTTA COLLEGE,2019-11-22,CITY OF ANGELS,6ap9lSRJ0iLriGLqoJ44cq,80,Records/Columbia,0.686,0.541,0,-4.993,0,0.0493,0.0,0.0675,0.724,120.082,112493,4,False,81.0,1.0,4.0,2eLpj5EDUhyAoTks8sxcKR,album
6,Sueco,MISCREANT,2019-09-20,fast,1FOINGDWa0dPgCpMabLT4Y,66,Atlantic Records,0.861,0.599,7,-7.814,0,0.217,0.00855,0.102,0.527,100.026,144000,4,True,72.0,1.0,8.0,4X381fJ53pMVKyFYoFNBYA,album
7,Cookiee Kawaii,Vibe,2019-03-29,Vibe,7btQ8AOjr6zXoGHEmxL5u5,1,Krystal Clear Records,0.759,0.561,10,-8.74,1,0.384,0.00951,0.117,0.169,159.995,84008,4,True,2.0,1.0,1.0,3292n6XkeKNy1NV1lY0Xuy,single
8,Junior M.A.F.I.A.,Conspiracy (PA),1995-08-15,Get Money,53oWwSxPuyH2cjYKXH8fgO,55,Big Beat Records,0.727,0.83,2,-5.835,1,0.286,0.0,0.251,0.894,91.174,274938,4,True,62.0,1.0,7.0,02GVhWjMuoQBQUtNhjWsnG,album
9,Craig Mack,Flava In Ya Ear Remix,1994,"Flava in Ya Ear Remix (feat. Notorious B.I.G., L.L. Cool J, Busta Rhymes, Rampage)",4JYUDRtPZuVNi7FAnbHyux,51,Rhino Atlantic,0.52,0.847,9,-5.3,1,0.427,0.0,0.325,0.799,177.371,302013,4,True,58.0,1.0,2.0,7mYcq3B0faiA5IvhDCdypL,single
