,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,97,Victor Victor Worldwide,0.823,0.586,6,-6.606,0,0.2,0,0.193,0.347,125.971,190476,4,True,94.0,1.0,3.0,7e7t0MCrNDcJZsPwUKjmOc,album
1,Lil Eazzyy,Onna Come Up,2020-06-05,Onna Come Up,0s8QrhtXW1Av2tuLLerDjN,48,Lil Eazzyy,0.793,0.571,1,-9.247,1,0.249,5.27e-06,0.101,0.616,150.052,128078,4,True,55.0,1.0,1.0,7eosioL37wzztd2a3a9oJK,single
2,Rich The Kid,Nobody Safe,2020-11-20,No Flash,3DhQknNJsPtkRj1D7bxjvl,72,Rich Forever Music / EMPIRE,0.57,0.606,6,-6.864,1,0.436,0,0.102,0.521,77.061,141692,4,True,66.0,1.0,2.0,1w3bK9CG80xsuDPlrz5EV7,album
3,Juicy J,GAH DAMN HIGH,2020-07-31,GAH DAMN HIGH,74QDDpNKio3jo0SmLT71nv,56,eOne Urban,0.709,0.617,1,-8.484,1,0.335,0.000171,0.126,0.547,139.32,169894,4,True,63.0,1.0,1.0,0eVdtXi4iRhiBezYq2nzp1,single
4,Busta Rhymes,YUUUU,2020-09-18,YUUUU,18Ks9kGu8LrcVoZP6M3CNK,53,"The Conglomerate Entertainment, Inc. / EMPIRE",0.698,0.755,1,-5.312,1,0.404,0,0.33,0.759,146.959,213473,4,True,60.0,1.0,1.0,1zA8rNzhq9BgLAE9JhKSRy,single
5,YG,My Life 4Hunnid,2020-10-02,Rodeo,04gB2NYWm9swlor2ZPcB9k,71,Def Jam Recordings,0.752,0.646,2,-8.552,1,0.0593,0,0.179,0.395,139.981,181818,4,True,64.0,1.0,5.0,3g2sgN6wC92EwuEA9hLbH0,album
6,Headie One,EDNA,2020-10-09,Hear No Evil (feat. Future),3dDdYVWY1wWlcpKoZZLyMy,76,Relentless Records,0.846,0.625,7,-7.557,1,0.275,0,0.183,0.471,142.066,263160,4,True,60.0,1.0,11.0,0fq4uzIIA44Bkw0fCQ5KAU,album
7,Ty Dolla $ign,Expensive (feat. Nicki Minaj),2020-08-28,Expensive (feat. Nicki Minaj),0IAkpYTRomExXOUJonNMTR,56,Atlantic Records,0.866,0.531,9,-6.859,1,0.0703,0,0.0937,0.266,99.069,135740,4,True,63.0,1.0,1.0,45y3NLn13x5gnIK6xVCKyF,single
8,Shy Glizzy,Young Jefe 3,2020-09-18,Feel The Vibe (feat. Meek Mill),2Pa3VfH66eTxLJhfXJblCs,62,300 Entertainment,0.77,0.624,1,-4.547,1,0.289,0,0.264,0.558,145.238,133081,4,True,57.0,1.0,2.0,2rnt0fBBFJ9ByEPnewCPr5,album
9,Jackboy,Aggy,2020-10-23,Aggy,7gc7U9ImQ8WlhRiBPlGTti,52,Sniper Gang / EMPIRE,0.897,0.556,8,-9.499,0,0.246,0,0.116,0.562,92.054,146146,4,True,59.0,1.0,1.0,2JR1wpUokyt82ekYF29kmf,single
10,King Von,I Am What I Am (feat. Fivio Foreign),2020-10-09,I Am What I Am (feat. Fivio Foreign),7MxWrgJmuEBOtEvqpo5iki,61,Only The Family Entertainment / EMPIRE,0.8,0.676,1,-5.631,1,0.287,0,0.119,0.421,141.089,218000,4,True,68.0,1.0,1.0,0Tc5my8FR1K0OtBlUK0Rkn,single
11,DJ Chose,THICK (feat. Megan Thee Stallion) [Remix],2020-10-30,THICK (feat. Megan Thee Stallion) - Remix,52ySvuxscDGsXUVsci1Kpa,63,DJ Chose,0.877,0.747,4,-5.873,1,0.365,0,0.273,0.679,145.162,205296,4,True,70.0,1.0,1.0,7oqb6dNNBKiukDeiaqAo5C,single
12,BlocBoy JB,ChopBloc Pt. 3 (feat. NLE Choppa),2020-09-17,ChopBloc Pt. 3 (feat. NLE Choppa) - Pt. 3,6y6ZS4ZATU2s1S0qHtbjIu,38,Foundation Entertainment/Interscope Records,0.73,0.618,1,-5.447,1,0.428,0,0.112,0.278,152.009,176889,4,True,45.0,1.0,1.0,18dLrwO9hrkGXc4P5h6HcT,single
13,Marshmello,Baggin',2020-09-02,Baggin',09iKyqKI8AGb0w4eajgWE8,59,Joytime Collective,0.78,0.528,1,-6.979,0,0.451,0,0.111,0.383,155.95,197010,4,True,66.0,1.0,1.0,2pJHbQp6ukEwbte0oS6Nm4,single
14,Trapboy Freddy,Big Trap,2020-10-21,Big Glock (feat. Shy Glizzy),7gU8vEm88EaWTO3eJjr3wZ,49,300 Entertainment,0.957,0.602,1,-8.69,1,0.298,0,0.112,0.945,119.992,136000,4,True,52.0,1.0,8.0,5LC7V7Ig5BqA550rM1Ib3D,album
15,Juicy J,LOAD IT UP,2020-10-09,LOAD IT UP,0LE2H36uYuoBi9D9IcyiuO,53,eOne Urban,0.885,0.745,2,-4.327,1,0.193,0,0.093,0.599,77.03,177001,4,True,60.0,1.0,1.0,77Mak8ARcb9Jwkl1D0tFfA,single
16,Kalan.FrFr,Get In feat. Stunna 4 Vegas,2020-10-09,Get In feat. Stunna 4 Vegas,5E8nXJXdyv5kJOrOA8N1jc,48,First Class Entertainment,0.873,0.516,8,-6.916,0,0.343,0,0.125,0.463,130.022,203093,4,True,55.0,1.0,1.0,6Fw3nRsej3W1zJhm3cb0a9,single
17,Erica Banks,Buss It,2020-05-15,Buss It,6NWdgyVsjp2bJ11PToXCr1,59,1501 Certified Ent,0.918,0.434,9,-9.541,1,0.173,3.14e-06,0.123,0.75,109.997,188735,4,True,66.0,1.0,1.0,0cTfIK7IoeXscnXZDsWTBk,single
18,Lil Tecca,Our Time,2020-09-11,Our Time,4PlwZcXyJwoYPgafhglDgq,51,Galactic Records/Lil Tecca,0.896,0.441,5,-12.142,0,0.317,0,0.0679,0.628,109.975,98449,4,True,58.0,1.0,1.0,5OGVTcBmkApTJTcujoXFht,single
19,Saweetie,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",2020-08-28,"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",5woaU1FNkqCwg6WzWiQPW5,68,ICY/Artistry Records/Warner Records,0.948,0.63,1,-7.011,1,0.219,2.02e-05,0.0737,0.425,100.032,253569,4,True,75.0,1.0,1.0,1aa1RxpukjEwAGbNdeV3Ft,single
20,ShooterGang Kony,Still Kony 2,2020-10-16,Negativity (feat. 1TakeJay),28OWykY9Nga9uLNW8WWHT0,49,Shootergang Kony / EMPIRE,0.505,0.765,11,-6.289,0,0.534,0,0.0665,0.561,97.896,227664,4,True,49.0,1.0,5.0,0JxtMo8owU8SJpAFer2eAv,album
21,Makaveli,The Don Killuminati: The 7 Day Theory,1996-11-05,Hail Mary,4akCwzFRS8Syu5uFy7L1sG,2,eOne Music,0.654,0.637,10,-6.915,0,0.293,1.28e-05,0.338,0.364,81.947,309800,4,True,3.0,1.0,2.0,3OR89PVUDdYVpuwQw9kALG,album
22,Mobb Deep,The Infamous,1995-04-25,"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,72,RCA Records Label,0.763,0.786,10,-6.472,0,0.229,0.0114,0.0817,0.504,93.857,325507,4,True,75.0,1.0,15.0,1cCAb1vN8uUsdfEylVmTLs,album
23,The Notorious B.I.G.,Ready to Die (The Remaster),1994-09-13,Who Shot Ya? - 2005 Remaster,2KFg8kjYy0rYjWsXGhEQHN,78,Bad Boy Records,0.828,0.686,11,-5.689,0,0.218,0,0.524,0.617,91.713,319373,4,True,68.0,1.0,18.0,2HTbQ0RHwukKVXAlTmCZP2,album
24,Eazy-E,It's On (Dr. Dre) 187um Killa,1993,Real Muthaphuckkin G's,4G19iP1Ltd4GLknCiS2k7y,0,Ruthless Digital,0.735,0.797,11,-4.611,0,0.285,0,0.62,0.731,170.444,332627,4,True,0.0,1.0,2.0,71eBk8GA96rDQYOhIparqH,album
25,Various Artists,More Music From 8 Mile,2002-01-01,Get Money,3W6UZZEiAIywZYpNpfBplK,0,Interscope,0.718,0.847,2,-4.876,1,0.29,0,0.17,0.888,91.158,270884,4,True,0.0,1.0,6.0,2fSgmryqGicQMugI4XsVyX,compilation
26,Bone Thugs-N-Harmony,Creepin on Ah Come Up,1994,Thuggish Ruggish Bone,2myYajO2Ip0zxKaXvm5YRL,0,Ruthless Digital,0.683,0.74,11,-6.041,0,0.0462,0,0.238,0.65,129.515,281773,4,True,0.0,1.0,3.0,02tkBY16aaQduVQKpoT8AN,album
27,Dr. Dre,The Chronic,1992-12-15,Bitches Ain't Shit,0JSCZdPOPR7d8Mfi09tIxU,72,Death Row Records,0.567,0.678,7,-8.442,1,0.209,1.61e-06,0.113,0.777,90.862,288560,4,True,60.0,1.0,16.0,6vdFSyhPjL4dZFkgRtToXH,album
