,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Megan Thee Stallion,Good News,2020-11-20,Girls in the Hood,7yiSvALPjMrBLDDrbcDRNy,88,300 Entertainment,0.821,0.816,6,-3.835,1,0.352,0,0.0645,0.797,179.974,154389,4,True,71.0,1.0,16.0,0KjckH1EE6HRRurMIXSc0r,album
1,DaniLeigh,Cravin,2019-10-18,Cravin (feat. G-Eazy),69eXHDgEEQ6itzt03E7fKz,61,Def Jam Recordings,0.834,0.538,4,-5.54,0,0.246,0,0.113,0.536,97.025,178907,4,True,68.0,1.0,1.0,6c66PBJdg7EWPcFUvLyFFu,single
2,Rico Nasty,Nightmare Vacation,2020-12-04,OHFR?,0MJ6Ci5Up2ZQsXXygcVCQ3,69,Sugar Trap,0.86,0.717,1,-5.542,0,0.48,0,0.0843,0.812,158.019,120964,4,True,58.0,1.0,12.0,0jJEiaA2W9eFhTXC1EGMqG,album
3,Kehlani,It Was Good Until It Wasn't,2020-05-08,Can I,0uDdI4fAXCuNhQbmxENdsO,76,TSNMI / Atlantic,0.574,0.791,1,-3.752,1,0.11,0,0.0982,0.612,119.537,167810,4,True,73.0,1.0,2.0,6ROLwnmW9pOioLned0DaP3,album
4,Ace Hood,Mr. Hood,2020-05-29,We Ball,5dv4YSgkpflUQ31vIW9qXg,66,Hood Nation / EMPIRE,0.752,0.525,10,-9.034,0,0.248,0,0.115,0.151,154.961,200655,4,True,70.0,1.0,1.0,4jqmUJ8Jex2D0Gjj7AyNTt,album
5,Young Dolph,Dum and Dummer,2019-07-26,Water on Water on Water,5YGhm6pI5s0uxJ2DwrDYqO,66,Paper Route EMPIRE,0.919,0.56,8,-5.221,1,0.3,0,0.0963,0.382,141.001,223520,4,True,64.0,1.0,11.0,5QNIFVnhZn80T3EteDzvgW,album
6,Quality Control,Quality Control: Control The Streets Volume 2,2019-08-16,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",6Vdyu21iT8qScU1haSjWUU,76,Quality Control Music/Motown Records,0.76,0.755,6,-4.735,0,0.19,2.95e-06,0.0909,0.517,101.993,171647,4,True,75.0,1.0,18.0,59zpaLOByFkJhc9D5Xqna9,album
7,Lil Baby,My Turn,2020-02-28,Sum 2 Prove,5f4Hy5mw5SRaUgXX9c6P5S,80,Quality Control/Motown Records,0.827,0.552,4,-7.571,0,0.274,0,0.122,0.408,124.011,205760,4,True,70.0,1.0,13.0,1ynyQdPQiXdYJNQEDL1S3d,album
8,Young Dolph,Tric Or Treat,2019-10-31,Tric Or Treat,2nMWvwPhdi1oUizCfC6QLZ,54,Paper Route EMPIRE,0.967,0.766,1,-5.302,1,0.131,0,0.191,0.901,115.013,197600,4,True,61.0,1.0,1.0,5PMlAcGmG2s3BnZwt3yh20,single
9,Trouble,Thug Luv,2020-04-24,Ain't My Fault,0642og7m3UBCXppcUuFZ9P,51,Eardruma Records,0.862,0.599,0,-7.131,0,0.398,0,0.0939,0.768,157.001,171360,4,True,51.0,1.0,6.0,3JgQJpOk0rmxql353Y3j2G,album
