,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Mystikal,Tarantula,2001-12-18,Bouncin' Back (Bumpin' Me Against the Wall) (feat. Pharrell Williams) - Extended Version,7LdaPYlRo4pq6CBt44To2H,39,Jive,0.883,0.896,0,-3.695,1,0.208,1.04e-06,0.0564,0.748,93.928,259547,4,False,45.0,1.0,1.0,22qrzIjC0d35poqKloCQaU,album
1,Mystikal,Prince Of The South...The Hits,2004-08-10,Danger (Been So Long) (feat. Nivea),0xwBnVDGM7t5rjDN7AWqx0,39,Jive,0.913,0.864,7,-5.394,1,0.215,2.52e-05,0.0302,0.717,97.975,212173,4,True,37.0,1.0,3.0,7gWUWKLvW6WDcAWCsYVzgY,compilation
2,Mystikal,Unpredictable,1997-11-11,The Man Right Chea,5XcvRVewzUeeEkN2fXautP,44,Jive,0.679,0.677,5,-8.667,0,0.307,4.49e-06,0.178,0.26,170.109,221973,4,True,42.0,1.0,12.0,1WRhv389X2qpbonB5Cvjex,album
3,Pastor Troy,Face Off,2001-01-01,No Mo Play In GA,76qw4ilmGDS7DAHsXBh9FJ,47,Universal Records,0.803,0.918,1,-4.014,1,0.19,0.0,0.104,0.95,146.109,279760,4,True,42.0,1.0,10.0,4wDdJjtzFKzjo9neJhaTlU,album
4,Foxy Brown,Chyna Doll,1999-01-01,Ride (Down South),3Di8X8ehbnvgrkxbSVDUFA,37,Def Jam Recordings,0.767,0.843,2,-2.899,1,0.221,0.00132,0.0813,0.585,90.027,341333,4,True,16.0,1.0,11.0,4J79JcO99vj9Nq0iKMXcVw,album
5,V.I.C.,Beast,2008,Wobble,6JLcz9UGiVxAmEZXlCucn5,58,Reprise,0.855,0.746,3,-3.777,0,0.232,0.0,0.146,0.375,95.026,321987,4,True,63.0,1.0,10.0,2xaFAO5ejxbxjL5gund9Dk,album
6,Willy Northpole,Tha Connect,2009-01-01,Body Marked Up,5GxJgYfFaWSJlFNMFrpKtk,16,"Disturbing Tha Peace Recordings, Inc.",0.781,0.643,0,-9.578,1,0.409,0.0,0.17,0.804,73.672,241667,4,True,18.0,1.0,5.0,4C9m5awtyMRX3YLiv9ghZE,album
7,6TreG,Fresh (Main Version),2009-08-20,Fresh,2OjVLIKuC9W1GNUmWRarS8,12,Jive,0.684,0.61,11,-4.828,0,0.326,1.9e-06,0.158,0.358,76.602,228920,4,True,18.0,1.0,1.0,1xqkQBMHXbStXvX8EgjJ99,single
8,JUVENILE,400 Degreez,1998-01-01,Ha - Remix Version,7pIbrsxLHKW1L4zir6CjXD,62,Cash Money,0.732,0.829,1,-4.018,1,0.186,3.53e-06,0.0637,0.606,181.989,265640,4,True,30.0,1.0,11.0,6wpqS71CJr3I0dLguYiZdJ,album
9,8Ball & MJG,Living Legends,2005-10-04,You Don't Want Drama,48F4fY1pKOTWN1H8q99dJE,47,Bad Boy Records,0.777,0.871,7,-5.588,1,0.236,0.0,0.366,0.624,140.098,273973,4,True,49.0,1.0,2.0,3CErIwttlfxoNd2cQhmBwW,album
10,Ludacris,Battle Of The Sexes (Deluxe),2010-01-01,Everybody Drunk,4q3nmeNA5FsBj7vzhl6sgu,63,"Disturbing Tha Peace Recordings, Inc.",0.888,0.646,11,-7.313,1,0.0911,0.0,0.325,0.192,122.798,250307,4,True,39.0,1.0,4.0,00kSgH9g6nYBQhjnRQFBew,album
11,Jeezy,TM:103 Hustlerz Ambition (Deluxe),2011-01-01,I Do,7kbgzSYR7X9FkzIeUFkviQ,61,Def Jam Recordings,0.592,0.815,8,-7.638,0,0.349,0.0,0.0877,0.621,72.466,311640,4,True,45.0,1.0,12.0,4GvDHEW1goHkqJbLJHzUUf,album
12,Any Given Sunday (OST),Any Given Sunday (OST),2000-01-04,Jump - Soundtrack Version,7e6wnCinY3Hq7erCBhyJEB,35,Atlantic Records,0.825,0.823,1,-4.203,0,0.1,0.306,0.146,0.313,88.178,247067,4,True,13.0,1.0,12.0,5R4qXQh3R3TxzXo6rvKGi8,album
13,Various Artists,The Longest Yard,2005-01-01,Shorty Bounce,5ZP0jzK6Y2CqyJLIaHc1Kz,37,Motown,0.782,0.88,4,-3.302,0,0.261,5.1e-06,0.035,0.672,171.881,246933,4,True,16.0,1.0,2.0,3UlT0C04NstpYyVAFqkukW,compilation
14,Various Artists,The Longest Yard,2005-01-01,Talking That Talk,5Ni81tmjWEuM3aZfqC8oA3,37,Motown,0.695,0.803,1,-4.199,1,0.25,0.000248,0.343,0.59,174.29,236600,4,True,17.0,1.0,9.0,3UlT0C04NstpYyVAFqkukW,compilation
15,Ray Cash,C.O.D. : Cash On Delivery,2004,Bumpin' My Music (feat. Scarface),5Eir7hmxWxzXXexOOvUFOE,0,Ghet-O-Vision Ent./Sony Urban Music/Columbia,0.706,0.819,1,-6.132,1,0.296,2.36e-05,0.0454,0.497,178.202,241133,4,True,0.0,1.0,3.0,3GVzkRBQuRgewAoV35vpoz,album
16,Birdman,Like Father Like Son,2006-01-01,You Ain't Know,6iV7QmMUPadq6osYqSM2wF,56,CM/Republic,0.88,0.623,1,-7.885,0,0.352,0.0,0.151,0.852,153.081,264133,4,True,42.0,1.0,6.0,3DLSu5fxSIaG7Ph8G5YVBp,album
17,Birdman,Like Father Like Son,2006-01-01,Know What I'm Doin',1YTYCwwYkg1jE709hF8Nah,56,CM/Republic,0.744,0.643,4,-6.665,1,0.128,0.0,0.06,0.836,155.985,271080,4,True,37.0,1.0,8.0,3DLSu5fxSIaG7Ph8G5YVBp,album
18,Shop Boyz,Party Like A Rockstar,2007-01-01,Party Like A Rock Star (Remix) feat. Chamillionaire & Lil Wayne,6zGZZcHFFiBPENYCO0xyFc,37,Universal (MT),0.658,0.693,7,-4.742,1,0.132,0.0,0.237,0.658,146.092,246720,4,True,44.0,1.0,1.0,444npWEmquDsv3RbwCPeWN,single
19,Shop Boyz,Rockstar Mentality,2007-01-01,Party Like A Rock Star,1IYaMVfidzSfvCUZYXhsU1,53,Universal (MT),0.619,0.709,7,-4.633,1,0.0395,0.0,0.507,0.68,144.972,253400,4,True,60.0,1.0,1.0,6tBUJLHPFbzO665rhzFDg2,album
20,Trina,Diamond Princess,2002-04-30,B R Right (feat. Ludacris),7iKXO3oCFiiZRniwAJaGa4,38,Atlantic/Slip N' Slide,0.702,0.78,9,-5.379,1,0.168,0.0,0.105,0.375,135.991,261987,4,True,40.0,1.0,5.0,6AMevGHBKW3lUyZcd017QZ,album
21,Gucci Mane,Gucci Time (feat. Swizz Beatz),2010-08-30,Gucci Time (feat. Swizz Beatz),1L1X58KWfCltG5Dp62rulI,15,Asylum/Warner Records,0.572,0.917,5,-3.567,0,0.277,0.0,0.592,0.361,83.799,176665,4,True,22.0,1.0,1.0,0S9jAeTaAhvtJlRuar2622,single
22,Trina,Diamond Princess,2002-04-30,Told Y'All (feat. Rick Ross),1THg4NBQ2J5qndNKf8B44X,38,Atlantic/Slip N' Slide,0.599,0.77,2,-6.843,1,0.239,0.000412,0.213,0.648,82.568,194520,5,True,26.0,1.0,3.0,6AMevGHBKW3lUyZcd017QZ,album
23,Trina,Diamond Princess,2002-04-30,No Panties (feat. Tweet),6KFkbtcLXUWU1WZFwh4awW,38,Atlantic/Slip N' Slide,0.868,0.812,1,-5.157,1,0.265,1.11e-06,0.877,0.755,107.032,162560,4,True,27.0,1.0,9.0,6AMevGHBKW3lUyZcd017QZ,album
24,Trina,Diamond Princess,2002-04-30,How We Do? (feat. Fabolous),3gBImpjfGOxjHQRgljfLfu,38,Atlantic/Slip N' Slide,0.964,0.713,8,-5.737,1,0.144,7.18e-05,0.0565,0.739,120.04,199187,4,True,13.0,1.0,11.0,6AMevGHBKW3lUyZcd017QZ,album
25,Trina,Da Baddest B***h,2000-01-01,Pull Over,6M33HiUHLC3R3gfXYNGMAy,42,Atlantic/Slip N' Slide,0.955,0.768,1,-5.54,0,0.181,0.0,0.308,0.741,125.04,194293,4,True,44.0,1.0,18.0,5tXpmutwVnXITJLptIssVU,album
26,Trina,Da Baddest B***h,2000-01-01,Da Baddest B***h,1rBittbf1aWwzeW28dI7Lv,42,Atlantic/Slip N' Slide,0.938,0.562,2,-9.555,1,0.114,0.00526,0.24,0.635,114.184,195293,4,True,41.0,1.0,2.0,5tXpmutwVnXITJLptIssVU,album
27,Jeezy,Trap Or Die 3,2016-10-28,All There,4l5lF04xjhTfYSopCXc4FU,57,Def Jam Recordings,0.685,0.768,4,-2.753,1,0.0336,0.0,0.144,0.322,72.49,198413,4,True,59.0,1.0,5.0,00DKLvomMIGBjB3NvYDWfU,album
28,OutKast,ATLiens,1996-08-27,Elevators (Me & You),2oLwDI8tZUOh6SmTMRRfKs,65,Arista/LaFace Records,0.772,0.586,10,-10.434,0,0.301,0.000722,0.0562,0.643,85.068,265200,4,True,60.0,1.0,6.0,1IaBCF26OjgYwUCEPaIyC0,album
29,Three 6 Mafia,Doe Boy Fresh (feat. Chamillionaire) [Explicit],2007-01-09,Doe Boy Fresh (feat. Chamillionaire),4ioTeLwRRJeWsz8535nrjD,38,Columbia,0.8,0.619,4,-5.728,1,0.131,0.0,0.0624,0.75,152.329,258733,4,True,45.0,1.0,1.0,6TWi0kx9tjWp4rAdvNoZbs,single
30,F.L.Y. (Fast Life Yungstaz),Jamboree,2009-01-01,Swag Surfin',5ItzU5pBrFmRUudfr5RkJP,49,Music Line Entertainment,0.731,0.927,11,-5.663,0,0.0408,0.0,0.103,0.669,143.987,249920,4,False,56.0,1.0,3.0,6mAgb1P4TuigEweUCJqrhp,album
31,JUVENILE,Project English,2001-01-01,Set It Off,44LFap7VrB4356vfbQOZHg,39,Cash Money,0.695,0.595,1,-9.091,1,0.194,1.2e-05,0.087,0.746,168.136,257000,4,True,43.0,1.0,2.0,6XWF6iUztcDP7yVBGpsGvb,album
32,Ludacris,Vitamin D,2017-03-31,Vitamin D,2oN4q66KUcOnWO86FVyctY,42,DTP Records,0.772,0.667,1,-6.421,0,0.129,0.0,0.0957,0.358,121.547,261094,4,True,49.0,1.0,1.0,6N1pMeTMcuCsFsHj1JmY1c,single
33,Drama,Causin' Drama,2000,"Left, Right, Left",0vk5b6kj3QISHg4fpRPi6n,36,Rhino Atlantic,0.909,0.517,4,-11.018,1,0.165,0.0,0.142,0.539,125.048,217427,4,True,42.0,1.0,2.0,6gdAZNn7yFmg8FzTwY3q5r,album
34,Three 6 Mafia,Most Known Hits,2005,Hit A Muthafucka,5rYzAkwmN9BK0a23komDje,48,Hypnotize Minds/Sony Urban Music/Columbia,0.875,0.86,11,-4.927,0,0.224,3.84e-05,0.803,0.886,156.846,235293,4,True,28.0,1.0,4.0,5tXymXBFsOAtBsDujLvjmN,album
35,Brooke Valentine,Chain Letter,2005-01-01,Girlfight,0GkkiqqRdjqmRDrWfTdemH,36,Virgin Records,0.745,0.62,11,-8.24,1,0.148,0.0,0.118,0.603,99.985,234733,4,True,41.0,1.0,1.0,5du4q67RcG857pUYs9W0OU,album
36,Three 6 Mafia,Club Memphis - Underground Volume 2,1999-08-24,Slob On My Knob,4d2QUkitBrxhM4WBYdQ9ea,35,Smoked Out Music,0.849,0.487,4,-9.664,0,0.351,0.464,0.146,0.499,170.981,123040,4,True,34.0,1.0,19.0,2makWi6Ev6N4qSc09eRZL3,album
37,David Banner,The God Box,2017-05-19,Amy,2ARjken1bzVdEGj1COQyrb,30,A Banner Vision,0.857,0.724,1,-6.396,0,0.274,0.0,0.101,0.531,72.503,219934,4,True,17.0,1.0,5.0,3Rdf6EFR90LuwLXkBWxLvm,album
38,UGK,The Essential UGK,2014-03-14,Int'l Players Anthem (I Choose You) (feat. OutKast),2bQdgtO42TfS37YWupeMrr,53,Jive/Legacy,0.697,0.681,4,-5.084,0,0.219,0.0,0.301,0.82,77.847,258987,4,True,58.0,2.0,7.0,4lWWlBbKuWBk7xgKEkevSg,compilation
39,Cool Breeze,East Point's Greatest Hit,1999-03-23,Watch for the Hook (Dungeon Family Mix),5CNBjdmp5aZdW2Nu6f0Xav,22,Organized Noize,0.678,0.729,1,-4.87,1,0.328,0.0,0.345,0.518,96.482,271600,4,True,26.0,1.0,2.0,1xnatTs8lRun69YT1tleCS,album
40,Unk,Beat'n Down Yo Block,2006-10-03,Walk It Out,6lSylu4qTmLBGQB1zp5oCi,0,eOne Music,0.794,0.777,1,-3.696,0,0.0813,0.0,0.202,0.706,160.022,173040,4,True,0.0,1.0,3.0,73W95DD8ErZGSQSkWmrBsh,album
41,Iconz,Street Money Vol. 1,2001-02-13,Get F#%ked Up,5ceMo0lcI7zy10yw0OsZvo,21,Iconz Music,0.722,0.704,11,-4.168,1,0.457,0.0,0.104,0.656,118.143,274400,4,False,26.0,1.0,4.0,5tv7eI6LBUvPTfowwWOfAE,album
42,Blk $ol,WOKE,2018-02-23,WOKE,2x3Pui4AxQm8iLd3IU0shm,0,Darius Wilson,0.672,0.654,1,-6.678,1,0.0931,4.32e-05,0.151,0.316,121.934,178000,4,True,1.0,1.0,1.0,1nVbv0glN98Y8BZ6dPeq3V,single
43,Blk $ol,Sheep or Goat,2018-07-11,Sheep or Goat,6G5YnMR4kNuDInIO3hvryT,0,BLK $OL,0.632,0.742,0,-7.933,0,0.17,0.0192,0.13,0.402,157.873,197640,4,True,1.0,1.0,1.0,6wwzC7tCyTguBCGgqOlTR2,single
44,Blk $ol,Zombies,2019-02-07,Zombies,72xwmXnnlDoKoGIFPEwWgt,0,BLK $OL,0.693,0.493,1,-11.946,1,0.148,0.0,0.105,0.487,147.244,178000,4,True,1.0,1.0,1.0,7ekBWQ2OUK4rnJhxW0ePvT,single
45,Drake,So Far Gone,2009,Uptown (feat. Bun B & Lil Wayne),0q7LGcVSpsIoSbjChtZ8lI,73,Young Money/Cash Money Records,0.416,0.824,1,-3.075,1,0.343,0.0,0.104,0.417,85.433,382262,5,True,62.0,1.0,12.0,1LShhEEKRT5MNPcO7jtYHh,album
46,Gorilla Zoe,Welcome To The Zoo,2007-09-25,Hood Figga,1OeTY85K4i1I7kNnvESfeb,25,Bad Boy Records,0.814,0.713,1,-5.089,1,0.107,0.0,0.123,0.145,174.264,200933,4,False,31.0,1.0,2.0,3cTzKXROYttlxQKBBg5wXr,album
47,Trae Tha Truth,Givin Em da Businezz,2007-10-19,Hood Nigga (rmx),5woe9EOxAyai6gkB5fBgzW,30,SoSouth,0.814,0.537,1,-8.944,1,0.385,0.0,0.315,0.0883,87.126,220320,4,True,37.0,1.0,4.0,4DAfu2KkGyQR2jKnXHik67,album
48,T.I.,Trap Muzik,2003-08-18,Bezzle,5Irz4DudFnsOo6Tfm9fSd1,54,"Grand Hustle, LLC",0.768,0.697,11,-4.256,0,0.304,0.0,0.342,0.377,148.905,294627,4,True,34.0,1.0,13.0,1SloKtrz48mjFA3QIDg7Vl,album
49,Boosie Badazz,Gangsta Musik,2005-05-17,Give Me That,2s9NvnrAU9WahyWRa0Ou9m,45,"Trill Entertainment, LLC",0.62,0.782,8,-6.034,1,0.363,0.0,0.319,0.54,156.109,267520,4,True,44.0,1.0,3.0,6ZzdLknUVYRVZIznVnPfRT,album
50,Blk $ol,Water,2019-09-05,Water,20q1QW2BcFA90df7xNFqkT,0,BLK $OL,0.676,0.583,3,-8.852,0,0.136,0.0616,0.107,0.376,148.62,167500,4,True,2.0,1.0,1.0,6u99sxJXVSIYGaTcAp3c9n,single
51,T.I.,Urban Legend,2004-11-28,Motivation,43aeFOIdKz42lWwmsTRqVd,60,"Grand Hustle, LLC",0.861,0.568,11,-8.01,0,0.305,0.0,0.221,0.59,161.984,214000,4,True,47.0,1.0,2.0,1oFucub5OjyG4XPsDUzhil,album
52,Ludacris,Back For The First Time,2000-01-01,Phat Rabbit,3aDTRYqX5T9yHVu6JpqrAX,34,RAL (Rush Associated Label),0.813,0.795,9,-6.82,1,0.183,0.0,0.22,0.698,143.072,298000,4,False,22.0,1.0,14.0,1KOKcpBEYxfbZkoPAyQzV8,album
53,Big Tymers,I Got That Work,2000-01-01,Nigga Couldn't Know,77Q8RQ5qs2TAvMkpsbGdGr,48,Cash Money,0.829,0.716,10,-6.666,0,0.252,1.41e-05,0.126,0.653,93.998,277533,4,False,20.0,1.0,3.0,7pe02mW4PQwNJkrmSup7bu,album
54,Big Tymers,I Got That Work,2000-01-01,#1 Stunna,7kBdenpTmgWfAz9clmBcok,48,Cash Money,0.552,0.842,8,-4.961,1,0.285,0.00327,0.258,0.561,89.017,281960,4,True,47.0,1.0,4.0,7pe02mW4PQwNJkrmSup7bu,album
55,Various Artists,10 Years Of Bling Vol. 1,2007-01-01,Bling Bling,4GUQGTQbrpLj13OM1fYnP6,0,Universal/Island Def Jam,0.895,0.985,2,-2.134,1,0.154,0.0,0.0589,0.848,98.913,314773,4,True,0.0,1.0,2.0,53uw5Li72N0nA9H2BpVo6c,compilation
56,Big Tymers,I Got That Work,2000-01-01,Get Your Roll On,4HpCT9jeCzBfpCaF3aTVWX,48,Cash Money,0.783,0.709,7,-7.776,1,0.177,0.00188,0.0792,0.47,177.821,242667,4,True,51.0,1.0,2.0,7pe02mW4PQwNJkrmSup7bu,album
57,Snoop Dogg,No Limit Top Dogg,1999-01-01,Down 4 My N's,14uUTfHIwIp587cz13UI5A,58,Priority Records,0.831,0.765,6,-5.661,0,0.273,0.0,0.352,0.523,90.995,226800,4,True,49.0,1.0,9.0,2evskaXutnTkQAaZeT4PQb,album
