,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Yo Gotti,Stay Ur Distance,2020-08-28,Stay Ur Distance,3GXDBeiF8ATGHJNWLinWAA,55,CMG / Inevitable II Records,0.832,0.611,0,-7.337,1,0.193,0,0.216,0.682,139.933,168273,4,True,62.0,1.0,1.0,6XU85ccZr2kNaLry0xzUYK,single
1,Jeezy,Therapy For My Soul,2020-11-18,Therapy For My Soul,3UtDUsB2Jla6ZFrhxPT7Xd,44,Jeezy/Def Jam PS,0.691,0.726,6,-3.364,0,0.255,0,0.218,0.404,82.984,257387,4,True,51.0,1.0,1.0,51KAupbdbGPs8pZtz2TovK,single
2,Rylo Rodriguez,For Me (feat. Yo Gotti),2020-10-30,For Me (feat. Yo Gotti),45oy4XpA73KjHWlStdLWCS,42,"Four Pockets Full, LLC",0.901,0.592,8,-6.595,1,0.286,0,0.08,0.443,127.999,202942,4,True,49.0,1.0,1.0,4lHJG5VJzTJrqXlJ01yTV1,single
3,YSB Tril,All Da Action,2020-12-01,All Da Action,1s5HwZMQx10NeGYO0cFW3p,42,LISTEN TO THE KIDS,0.861,0.548,8,-5.608,1,0.232,0,0.139,0.361,92.063,140992,4,True,49.0,1.0,1.0,30EkjyCA87BKn9pYXTttcN,single
4,Hotboii,Menace,2020-12-04,Menace,5i5P7RNnhpkeYaLhHhvMId,45,Hotboii,0.672,0.713,5,-6.358,0,0.178,0,0.337,0.179,152.095,164210,4,True,52.0,1.0,1.0,1ikhLN4qr3HKaiaUb3k2WU,single
5,Morray,Quicksand,2020-10-30,Quicksand,33HO2V42Tc6xE0SbCg6vBj,61,Pick Six Records,0.901,0.673,4,-6.545,0,0.314,0,0.143,0.561,119.97,223944,4,True,68.0,1.0,1.0,3VB5ViVn5PK58UmJaCdopk,single
6,Blac Youngsta,Trench Bitch (feat. Lil Durk),2020-11-10,Trench Bitch (feat. Lil Durk),0Q6LHAQhmJngUFiA9w7Wrr,52,Epic,0.646,0.55,1,-9.351,1,0.352,0,0.193,0.266,160.12,156013,4,True,59.0,1.0,1.0,6mAtxNpyh5J4fyC42YBLOi,single
7,Stunna 4 Vegas,Welcome To 4 Vegas,2020-11-27,Play U Lay (feat. Ola Runt),7gdGs1uki9abtOvy64p5AY,62,Billion Dollar Baby/Interscope Records,0.856,0.513,1,-9.838,1,0.514,0,0.0977,0.439,122.884,132840,4,True,54.0,1.0,9.0,5o1mQH493nGffEPnxekTR6,album
8,Jeezy,The Recession 2,2020-11-20,Almighty Black Dollar (feat. Rick Ross),4mc8ngLyPUZDuSQ5FtQCCa,70,Jeezy/Def Jam PS,0.721,0.797,1,-5.113,1,0.0926,0,0.286,0.473,115.512,169704,3,True,61.0,1.0,14.0,11BJJE6R9ovFR6J2fMoLWc,album
9,YBN Almighty Jay,Shoutout To My Dentist,2020-12-01,Shoutout To My Dentist,2xuFyPhhbdY10eRKteroV4,45,Art@War/Atlantic Records,0.877,0.562,2,-10.195,1,0.3,0,0.106,0.498,121.947,157377,4,True,52.0,1.0,1.0,1inRnxa4WaZi11wHNheGb2,single
10,Yella Beezy,On Fleek (feat. Gunna),2020-11-06,On Fleek (feat. Gunna),1XzFvEZf1zcDPhiXm017wf,56,HITCO,0.759,0.656,8,-7.592,1,0.0873,0,0.104,0.174,141.955,260282,4,True,63.0,1.0,1.0,0cS7jqIErQP2qTK8OV64dS,single
11,Jackboy,Man Down (feat. Sada Baby),2020-12-04,Man Down (feat. Sada Baby),7CdSgBnouOPnK9BNJUFmNi,43,Sniper Gang / EMPIRE,0.81,0.705,0,-6.623,0,0.214,0,0.11,0.371,100.021,165901,4,True,50.0,1.0,1.0,6iZal9gyjpqnziqeRf3EdE,single
12,OMB Bloodbath,My Dad's Fault (with Aaron May & jetsonmade),2020-11-26,My Dad's Fault (with Aaron May & jetsonmade),71S4nqYIr0BqGcjj7iXM0J,44,10:22pm/LVRN/Interscope Records,0.806,0.634,7,-6.548,1,0.0473,0,0.359,0.815,117.957,219787,4,True,51.0,1.0,1.0,1GZ5gRSWSV5G43HvcmCWfZ,single
13,City Girls,"Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]",2020-11-13,"Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]",6FaYbjgD31OYcsqtMWFEz7,62,Quality Control Music/Motown Records,0.949,0.617,1,-4.961,1,0.185,0,0.178,0.32,99.029,199299,4,True,69.0,1.0,1.0,4gXbWpVWH625y2Qg352TPr,single
14,Kevin Gates,Weeks,2020-10-29,Weeks,3d9P90Wha2beUBCOb6boQy,58,Bread Winners' Association,0.64,0.571,1,-3.714,1,0.384,0.00181,0.0646,0.568,109.56,172310,5,True,65.0,1.0,1.0,4V9VaKYR118ULcpVZU7rpK,single
15,Lil Gnar,HEY!,2020-11-20,HEY!,5xBcvf2WeukA3K0tiUutlR,54,TenThousand Projects,0.899,0.604,11,-8.13,0,0.262,0,0.167,0.212,100.049,154800,4,True,61.0,1.0,1.0,08qHUdRkhIrn3c1rWmGxGz,single
16,KenTheMan,Every 4,2020-11-24,Every 4,2VEXVaHzsULkCets2pN3rn,47,Independent,0.931,0.365,9,-8.781,1,0.443,0,0.142,0.259,140.044,150857,4,True,54.0,1.0,1.0,000gngaiIggka6NgO1d78M,single
17,Yung Mal,All Cap,2020-11-18,All Cap,7KSWriY3lw8jnv8xR4Z6CR,38,Alamo Records,0.876,0.627,2,-6.691,1,0.366,0,0.121,0.418,145.063,152276,4,True,45.0,1.0,1.0,5gpWVLOU1eOriw6UbiwzIf,single
