,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Pusha T,Drug Dealers Anonymous,2016-06-23,Drug Dealers Anonymous,1b6rmL3VXBgYTbn61kM8wT,53,Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,0.558,0.864,11,-5.1,1,0.43,0,0.123,0.474,152.804,253787,4,True,60.0,1.0,1.0,6seO2kGWhFKbe61aNvdB12,single
1,Flying Lotus,Cosmogramma,2010-05-03,Arkestry,5SZw9E4I8wQfJaVJkVUlaY,53,Warp Records,0.215,0.899,4,-7.066,0,0.225,0.668,0.677,0.194,85.687,171227,4,False,33.0,1.0,8.0,5c7XChrHxYaqykCZLaGM5f,album
2,Chief Keef,Nobody,2015-06-09,Already,3aLiPENDjMxIvo6kspIHO2,8,RBC Records,0.556,0.54,11,-11.774,1,0.111,0,0.382,0.253,112.923,136139,4,True,0.0,1.0,3.0,4AqHujvnaWfTREiGajQvxK,album
3,Lil Xan,TOTAL XANARCHY,2018-04-06,Betrayed,4vaxvNDaLSoD36iZX515ug,70,Columbia,0.821,0.434,10,-9.194,0,0.118,0,0.128,0.241,120.012,187173,4,True,75.0,1.0,12.0,2wmmYoAC48iNSTdU5Iwg6H,album
4,Isaiah Rashad,The Sun's Tirade,2016-09-02,4r Da Squaw,71lyUtIPCMAYjTwwwxy2jW,69,Top Dawg Entertainment,0.667,0.523,10,-9.477,0,0.329,2.12e-05,0.137,0.409,143.934,232571,4,True,65.0,1.0,2.0,6jjX8mGrsWtrpYpFhGMrg1,album
5,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,1998-08-25,Doo Wop (That Thing),0uEp9E98JB5awlA084uaIg,75,Ruffhouse/Columbia,0.535,0.505,2,-8.926,0,0.245,0,0.0923,0.495,99.935,320267,4,False,73.0,1.0,5.0,1BZoqf8Zje5nGdwZhOjAtD,album
6,$NOT,Beautiful Havoc,2020-10-30,Like Me (feat. iann dior),706ZrLifsm0nwlucKr4kQg,75,300 Entertainment,0.902,0.462,7,-7.945,1,0.0979,2.15e-06,0.094,0.646,103.984,167147,4,True,71.0,1.0,6.0,62m2Y4PVeyW4TbmPSBvb0x,album
7,Popp Hunna,Adderall (Corvette Corvette),2020-10-15,Adderall (Corvette Corvette),3aAmQOxRPeKDL0HMWFA5qn,75,Jay Rebel Music,0.913,0.391,4,-11.158,0,0.368,0,0.0666,0.713,141.05,136224,4,True,82.0,1.0,1.0,6zUd16jYIP9n45kUE3L5J3,single
8,Rico Nasty,Nightmare Vacation,2020-12-04,Loser (feat. Trippie Redd),7CCOkwimz68cN8QLCes6SU,69,Sugar Trap,0.783,0.812,4,-3.835,0,0.173,0,0.206,0.943,150.046,145073,4,True,62.0,1.0,9.0,0jJEiaA2W9eFhTXC1EGMqG,album
9,Hotboii,No Limit,2020-11-27,No Limit,714q4SngPOIQdbqOGPSEBZ,48,Hotboii,0.71,0.743,10,-4.578,1,0.0999,0,0.14,0.609,140.203,165372,4,True,55.0,1.0,1.0,5lgtHvOit4brfkrnJ6LSvw,single
10,Pressa,Gardner Express - Blackberry Zap feat. Jackboy,2020-12-04,Blackberry Zap,3ReXNYlMVXMae28nMUegY0,46,Sony Music Canada,0.903,0.586,7,-6.593,0,0.302,0,0.0931,0.738,140.088,178286,4,True,52.0,1.0,1.0,3mWgK5dmjPf9dZ2fxu0JM0,single
11,Shordie Shordie,Good Evening,2020-11-06,Good Evening,0CShhQqFaJ85RRX7hwdcwn,53,Warner Records,0.699,0.666,9,-7.883,0,0.282,0,0.127,0.433,99.888,137640,4,True,60.0,1.0,1.0,6AtjF0pfNi9zYwbrT0IJCO,single
12,Baby Plug,Lemme Pop My Shxt 2,2020-11-06,No Fifties (feat. Lil Keed & Lil Gotit) - Remix,3Aj48moveW72v9ltwY0jHG,38,RECORDS/Epic,0.965,0.474,1,-6.563,1,0.383,0,0.105,0.301,119.999,184000,4,True,43.0,1.0,11.0,74d0GRC44eqxLGWz7Us6pr,album
13,$NOT,Mean,2020-10-15,Mean,4gncrdopojb9Xe8KoNXKGY,63,300 Entertainment,0.836,0.726,1,-7.616,0,0.291,0,0.0884,0.611,99.992,124987,4,True,70.0,1.0,1.0,3cOGCXAKUcJGpk0vQvz5RX,single
14,Laney Keyz,Drop Top Coupe,2020-11-23,Drop Top Coupe,1FEBQ6R6imI8PfoWGCb6oA,36,Nontra Records,0.728,0.587,5,-7.609,0,0.229,0,0.122,0.512,146.0,159893,4,True,43.0,1.0,1.0,64Ok1CindHXVwEfkXIazGd,single
15,Lourdiz,Za Za,2020-12-03,Za Za,2S1OhtDlIEiNYqEis392dM,35,Lourdizmusic,0.789,0.531,7,-7.771,0,0.0742,6.07e-06,0.372,0.579,135.946,194344,4,True,42.0,1.0,1.0,5NbFveXzmkobiHMQ3znurZ,single
16,DaDa1k,War Ready (Remix),2020-10-30,War Ready (Remix) [feat. Hotboii],1etVdOcj0n6yB16ap5VihE,43,Arista Records,0.941,0.373,9,-6.891,1,0.167,9.31e-05,0.0966,0.0414,119.999,175690,4,True,50.0,1.0,1.0,1yBspn21QZRZ5qZpkzNCMb,single
17,Baby Keem,hooligan / sons & critics,2020-09-18,hooligan,02iYJG3KLBJODa5JkQ4O6y,65,Columbia,0.77,0.636,10,-7.636,0,0.0901,2.92e-06,0.115,0.414,93.032,156774,3,True,72.0,1.0,1.0,3DkdRBEwaFuyDTjsrf5dGl,single
18,YSN Fab,Get Rich or Die Tryin,2020-10-16,Get Rich or Die Tryin,5nLNuK7OoJt36gY9gWgnbo,47,YSN ENTERTAINMENT,0.748,0.487,0,-9.462,1,0.233,0,0.133,0.704,103.885,193933,4,True,54.0,1.0,1.0,3RDp0IJMcYp61ZTLgLBt8i,single
19,SNF.JT,On Me (feat. Rikki),2020-12-04,On Me (feat. Rikki),5qgJnAqD24Oy77CWFV3F3A,34,Epic,0.361,0.701,7,-5.211,0,0.186,0,0.353,0.223,81.099,182462,4,True,41.0,1.0,1.0,4ANbZ81bRvdldTfI20RlzQ,single
20,Quin Nfn,Give It Back,2020-11-12,Give It Back,37y6G5uZK9pA56IuCUCjbK,36,Quin Nfn,0.901,0.5,1,-13.155,1,0.371,0,0.0888,0.499,120.106,122964,5,True,43.0,1.0,1.0,4DZ7csbBr706gd4xAnHxlO,single
21,LBS Kee'vin,Toxic (feat. Luh Kel),2020-11-27,Toxic (feat. Luh Kel),3MnCnBxIDgkcS8gfZ5PKoa,42,Visionary Records/Columbia,0.79,0.67,7,-4.58,0,0.288,0,0.0847,0.412,156.117,126637,4,True,49.0,1.0,1.0,2Poi3Rz3wwS0akv1Bou2Yk,single
22,Hotboii,Left Lonely,2020-09-18,Left Lonely,6mKO2ueASfZXkvQTp2y59f,52,Hotboii,0.72,0.721,1,-5.309,1,0.205,0,0.146,0.572,172.116,167442,4,True,59.0,1.0,1.0,00zXktUlLh3UAkjOHpxjPX,single
23,Kill Jasper,Pretend,2020-11-30,Pretend,1snsn01re8Mc2I5rTnWtyd,40,kill jasper records,0.82,0.44,3,-10.133,0,0.354,0,0.117,0.57,80.538,143126,4,True,47.0,1.0,1.0,1fq4YrtmOpH3C4z4IWgeZ6,single
24,YSN Flow,Blow It All,2020-09-04,Blow It All,184JibJ4w8xPAuGteuEWnj,41,Republic Records,0.791,0.629,3,-6.696,0,0.287,0,0.118,0.68,115.052,157496,4,True,48.0,1.0,1.0,44Wi799b9a4SiWZTs4mgEg,single
25,StaySolidRocky,Out Da Oven,2020-11-13,Out Da Oven,0EKcJ70nUR0epdgrYtXjIN,45,Columbia,0.806,0.511,1,-9.447,1,0.329,0.0312,0.0934,0.375,79.973,132008,4,True,52.0,1.0,1.0,0xExxN93K4E9yIXtEPo2z6,single
26,Lil Tracy,Designer Talk 2,2020-11-13,Chicken Soup,4HXydnNLWEAASziH3965ZE,60,"TORESHI, LLC",0.712,0.778,5,-6.738,0,0.0408,0,0.127,0.469,139.976,192692,4,True,52.0,1.0,8.0,1MuaXo3ts7Q7nWUUO0KdxL,album
27,tobi lou,Student Loans,2020-10-01,Student Loans,6C4Kqx1EFnM9h07SJxM26j,45,Artclub / EMPIRE,0.676,0.668,10,-8.763,0,0.192,0,0.121,0.724,151.857,124638,4,True,52.0,1.0,1.0,0HNjXrcUUv8Plgr7MaSv0D,single
