,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Megan Thee Stallion,Suga,2020-03-06,Savage,55CHeLEfn5iJ0IIkgaa4si,78,300 Entertainment,0.843,0.741,11,-5.609,1,0.334,0,0.096,0.68,168.983,155497,4,True,80.0,1.0,2.0,6Lo6ylJg4qbFfxicPEOzMI,album
1,Kamaiyah,Got It Made,2020-02-21,Whatever Whenever,4GLZ7cqImjGzWAI3kvT8Y5,43,GRND.WRK / EMPIRE,0.855,0.526,2,-8.557,1,0.211,4.5e-05,0.11,0.594,172.032,174419,4,True,31.0,1.0,9.0,6ZXxGcGOU3aB4aycsrfPsy,album
2,BIA,FREE BIA (1ST DAY OUT),2020-03-27,FREE BIA (1ST DAY OUT),2ZAAEG3S544o5aHfh77Wth,38,Epic,0.962,0.352,7,-7.863,1,0.566,0.000133,0.124,0.28,123.998,114603,4,True,45.0,1.0,1.0,1GLlImH86rENUYXqMSTSUB,single
3,Mulatto,No Hook,2020-04-23,No Hook,5HyUymevRIBqIlHfmup8Sz,40,Streamcut/RCA Records,0.684,0.464,9,-5.796,1,0.506,0,0.111,0.213,180.323,103489,4,True,47.0,1.0,1.0,0hyrMfQMMX09fOOsnOuhQ8,single
4,Chinese Kitty,Kitty Bandz,2019-10-02,Opps,3NuruFjO085hLCW4ZeDRzA,35,Kitty Gang Music,0.867,0.582,9,-7.312,1,0.272,2.09e-05,0.155,0.536,82.468,151648,4,True,37.0,1.0,5.0,0kpG3FOYMvwNEf3n4AXV0s,album
5,Megan Thee Stallion,Tina Snow,2018-12-21,Freak Nasty,4rd4bY5IzC4AN6NdgYGtWD,70,300 Entertainment,0.953,0.723,1,-6.437,1,0.248,0,0.336,0.221,99.969,173799,4,True,65.0,1.0,4.0,26jEIrN7WSAnVQXXUmLRSN,album
6,Megan Thee Stallion,Tina Snow,2018-12-21,Cocky Af,7hdR7gLsPQ6EXGeghibSK3,70,300 Entertainment,0.628,0.621,4,-9.585,0,0.356,0,0.113,0.528,130.016,177377,4,True,64.0,1.0,10.0,26jEIrN7WSAnVQXXUmLRSN,album
7,Megan Thee Stallion,Fever,2019-05-17,Hood Rat Shit,1hOHLiauos0RROoUxd88mL,74,300 Entertainment,0.871,0.781,7,-3.963,1,0.263,0,0.212,0.729,80.018,181231,4,True,50.0,1.0,2.0,5WLquTz7nUnsHCj80b6wci,album
8,City Girls,Jobs,2020-06-19,Jobs,22IWDKdWDgx2cAx5RuDgty,56,Quality Control Music/Motown Records,0.884,0.592,10,-6.06,0,0.3,0.00011,0.0812,0.664,160.007,121386,4,True,63.0,1.0,1.0,4lcViUMXbGOv0FTIxiaouW,single
9,Teyana Taylor,K.T.S.E.,2018-06-23,Rose In Harlem,38HcgcQC4suvti0Sa0e5yc,68,Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ,0.543,0.567,2,-5.241,0,0.129,0,0.171,0.351,143.744,222828,4,True,61.0,1.0,6.0,0mwf6u9KVhZDCNVyIi6JuU,album
