,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Mia X,Unlady Like,1997-01-01,You Don't Wanna Go 2 War,7jg4WfgFOlK5xQg349HA9S,31,Priority Records,0.807,0.671,7,-8.517,1,0.33,0,0.472,0.837,155.878,326827,4,True,29.0,1.0,1.0,78FznFtIyWe4Ncyo3tAE6t,album
1,Mia X,Unlady Like,1997-01-01,The Party Don't Stop,1Ojr6XMYJnlkTYI1bVr5uG,31,Priority Records,0.817,0.595,6,-10.144,0,0.264,0,0.155,0.383,92.931,253107,4,True,26.0,1.0,2.0,78FznFtIyWe4Ncyo3tAE6t,album
2,Mia X,Unlady Like,1997-01-01,I'll Take Ya Man '97,5khJhhB5GhlAXNVPqblbsF,31,Priority Records,0.88,0.651,6,-8.855,0,0.212,0.000133,0.066,0.429,97.666,287667,4,True,23.0,1.0,8.0,78FznFtIyWe4Ncyo3tAE6t,album
3,Master P,Starring Master P,2010-01-01,"I'm Bout It, Bout It",03GZCQuVUjnzlcnTM7onGe,31,Priority Records,0.528,0.69,7,-5.803,1,0.289,0,0.112,0.47,76.037,330200,4,False,22.0,1.0,15.0,54n3bN34T5wSvzfJu24OOK,album
4,Mia X,Mama Drama,1998-10-27,Whatcha Wanna Do,1zuFmAYoY5ZOPRRIxcakUa,26,Priority Records,0.709,0.587,11,-8.582,0,0.107,0,0.14,0.313,84.94,280200,4,True,22.0,1.0,2.0,4zfQXy8m725FD6SgIKQ7w7,album
5,Mia X,Mama Drama,1998-10-27,I Think Somebody,3saGPOz13yOPQbTiUuoJ04,26,Priority Records,0.9,0.854,11,-8.995,1,0.254,2.51e-06,0.0365,0.964,145.018,183267,4,True,20.0,1.0,6.0,4zfQXy8m725FD6SgIKQ7w7,album
6,Mia X,Unlady Like,1997-01-01,4Ever Tru,2lhr04Hiod8KVimknwiIWI,31,Priority Records,0.69,0.594,9,-6.973,1,0.219,0,0.141,0.505,119.717,319573,5,True,20.0,1.0,10.0,78FznFtIyWe4Ncyo3tAE6t,album
7,Various Artists,I'm Bout It,2007-01-01,Much Love,3wP8gDIncWs2AvkkLmaHi7,40,Capitol Records,0.636,0.454,6,-13.398,0,0.277,0.00666,0.121,0.509,80.543,242827,1,True,19.0,1.0,11.0,0S8lPnO7diSvdULUPhEQZM,compilation
8,Master P,Ghetto D,1997,Burbons And Lacs,1Xunvmk47Mju6oZlgzm2Ty,56,Priority Records,0.925,0.453,7,-5.921,1,0.109,5.99e-05,0.124,0.392,138.002,249933,4,True,56.0,1.0,19.0,699xAzNxlXxgmkycTEqktC,album
9,Young Bleed,"All I Have In The World, Are...My Balls And My Word",1998-01-01,How Ya Do Dat,1KLhUURHRl72xGO5A94lme,47,Priority Records,0.788,0.451,1,-9.313,1,0.318,0,0.134,0.302,89.97,271067,4,True,51.0,1.0,8.0,6drk7Zx1zdv2VQB1mkklsK,album
10,Master P,Ice Cream Man,1996,Mr. Ice Cream Man,6utJPGnUAGkW7qRaYpoasi,48,Priority Records,0.806,0.666,0,-5.755,1,0.117,0,0.72,0.571,131.939,307933,4,True,43.0,1.0,2.0,4nMQfmCvZ4qG8FDHrIuMsL,album
11,Master P,Ghetto D,1997,I Miss My Homies,53nmK2ARfSnBFvhYXxmgGc,56,Priority Records,0.828,0.656,0,-6.958,1,0.202,0,0.408,0.617,125.567,325760,4,True,42.0,1.0,3.0,699xAzNxlXxgmkycTEqktC,album
12,Master P,Ice Cream Man,1996,Break 'Em Off Somethin',4h2ivHk1DOadWS1rBpeQAy,48,Priority Records,0.798,0.735,1,-6.288,1,0.264,0,0.0903,0.463,82.14,282160,4,True,42.0,1.0,5.0,4nMQfmCvZ4qG8FDHrIuMsL,album
13,Master P,Ghetto D,1997,Ghetto D,2eHwnllIOPBmpgFaoTWzux,56,Priority Records,0.761,0.743,11,-5.608,0,0.422,0,0.319,0.724,97.297,277213,4,True,40.0,1.0,1.0,699xAzNxlXxgmkycTEqktC,album
14,Various Artists,I Got The Hook Up 2 Original Motion Picture Soundtrack,2019-07-12,Gone,3unXIC7hp8fCIwAkl7bsca,33,No Limit Forever,0.706,0.632,1,-7.017,1,0.192,0,0.362,0.277,148.015,182938,4,True,39.0,1.0,1.0,1nL75s9Ok21i3pBd2rWBYM,album
15,Ariana Grande,Positions,2020-10-30,34+35,6Im9k8u9iIzKMrmV7BWtlF,99,Republic Records,0.83,0.585,0,-6.476,1,0.094,0,0.248,0.485,109.978,173711,4,True,94.0,1.0,2.0,3euz4vS7ezKGnNSwgyvKcd,album
16,Yung Baby Tate,After The Rain,2020-12-04,I Am (feat. Flo Milli),4E7ZbuJH3NddjnMWLstkRq,52,"Raedio, LLC/Yung Baby Tate",0.932,0.835,1,-3.905,1,0.156,0,0.0847,0.926,144.02,182465,4,True,53.0,1.0,2.0,0ne4ND8fxiwMDH8OK0sAn6,single
17,Flo Milli,"Ho, why is you here ?",2020-07-24,May I,1GcXzijYzyfMq6wryZjYW5,74,'94 Sounds/RCA Records,0.896,0.78,1,-3.547,1,0.202,0,0.0857,0.85,106.032,163019,4,True,72.0,1.0,9.0,49FIsErcdC5rfTFhRpPZ7P,album
18,Kamaiyah,Still I Rise (feat. Jackboy),2020-12-04,Still I Rise (feat. Jackboy),1oDGJfzgWWcYhTJjLcJU7q,44,GRND.WRK / EMPIRE,0.754,0.57,11,-5.665,1,0.356,0,0.146,0.282,172.928,158150,4,True,51.0,1.0,1.0,1lzctpfmslXCVlT7pTEHXC,single
19,Melii,You Ain't Worth It (with 6LACK),2020-12-04,You Ain't Worth It (with 6LACK),1DJsyU4yU3cnONCun42snt,58,Rule #1/Geffen Records,0.635,0.613,1,-9.099,0,0.483,7.29e-06,0.0848,0.604,150.004,183078,4,True,65.0,1.0,1.0,2Fw2vwwYCCyKNqtpG9Rwqu,single
20,Yung Baby Tate,After The Rain,2020-12-04,Baecation,06r2mPT12Cpq70nLrzfGR7,52,"Raedio, LLC/Yung Baby Tate",0.795,0.508,8,-5.917,1,0.0352,0,0.106,0.878,107.053,182409,4,True,47.0,1.0,5.0,0ne4ND8fxiwMDH8OK0sAn6,single
21,SAYGRACE,Boys Ain't Shit (feat. Flo Milli),2020-08-14,Boys Ain't Shit (feat. Flo Milli),2W7FRj6wq1uNmIUwELuQ7e,54,Regime Music Societe/RCA Records,0.833,0.656,1,-4.428,0,0.168,0.000616,0.406,0.89,102.979,195751,4,True,61.0,1.0,1.0,3hQcaESnJCs1r2oHbmUKoB,single
22,Chloe x Halle,Ungodly Hour,2020-06-03,Do It,35Dh5MnCUPLN3XyAVtQff3,69,Parkwood Entertainment/Columbia,0.725,0.668,5,-7.286,0,0.055,2.33e-06,0.112,0.566,82.966,176787,4,False,73.0,1.0,4.0,1ReoUTt497nUg3u1ERgYwS,album
23,BIA,SKATE,2020-11-29,SKATE,6WQiTSAAuWGSA9lkb0COcr,50,Epic,0.894,0.499,0,-7.677,1,0.268,0.000277,0.118,0.376,153.079,163214,5,True,57.0,1.0,1.0,1merTrDrEz4kSBkQpEHA0S,single
24,Fousheé,Deep End,2020-07-31,Deep End,6HlE9t71z9DjGi7KqSyEpA,82,Not specified,0.711,0.592,4,-7.136,0,0.23,0,0.156,0.535,124.749,141224,4,True,89.0,1.0,1.0,2HICqd0ltMKNrkhfmWSuKy,single
25,SZA,Hit Different,2020-09-04,Hit Different,7Bar1kLTmsRmH6FCKKMEyU,74,Top Dawg Entertainment/RCA Records,0.679,0.516,0,-6.371,0,0.0452,0,0.0965,0.716,120.074,202008,4,True,81.0,1.0,1.0,4xmJCh7ct63QvQ5wRc44db,single
