,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Angel Haze,Reservation,2013-07-17,Supreme,1mRietdncxOtWGC2ntQnFB,30,Angel Haze,0.641,0.946,0,-5.498,1,0.143,0,0.0962,0.505,90.079,181107,4,True,16.0,1.0,4.0,5FsWjxWO600RCZ6FhSkge7,album
1,Angel Haze,Reservation,2013-07-17,New York,0X2Jwps2m5JCqEA53ZsnuQ,30,Angel Haze,0.716,0.835,7,-6.89,1,0.379,0.00446,0.0928,0.865,203.783,208509,4,True,17.0,1.0,5.0,5FsWjxWO600RCZ6FhSkge7,album
2,Angel Haze,Reservation,2013-07-17,Hot Like Fire,3W2aqANNWai4EGpRoNYCcf,30,Angel Haze,0.68,0.797,4,-4.398,0,0.184,0,0.67,0.774,82.47,213577,4,True,16.0,1.0,6.0,5FsWjxWO600RCZ6FhSkge7,album
3,Angel Haze,Reservation,2013-07-17,Werkin Girls,1578JYtrvhIZH5zyuxIb2x,30,Angel Haze,0.597,0.891,8,-6.058,1,0.368,0,0.262,0.738,151.876,185104,4,True,26.0,1.0,7.0,5FsWjxWO600RCZ6FhSkge7,album
4,Angel Haze,Reservation,2013-07-17,Gypsy Letters,4HjGq0Bo8joDVlFVmFuXrm,30,Angel Haze,0.768,0.65,9,-8.492,1,0.132,0,0.52,0.514,115.359,224836,4,True,16.0,1.0,8.0,5FsWjxWO600RCZ6FhSkge7,album
5,Angel Haze,Reservation,2013-07-17,Jungle Fever (feat. Kool a.D),2WlSsraq5wnbSVHOEX28cD,30,Angel Haze,0.844,0.573,4,-6.662,1,0.247,0,0.0532,0.896,119.977,257463,4,True,22.0,1.0,9.0,5FsWjxWO600RCZ6FhSkge7,album
6,Angel Haze,Reservation,2013-07-17,Realest,1hRYi8xiSslVC1zENJyHsI,30,Angel Haze,0.537,0.859,9,-4.841,0,0.253,0,0.244,0.516,139.93,188186,4,True,14.0,1.0,10.0,5FsWjxWO600RCZ6FhSkge7,album
7,Angel Haze,Reservation,2013-07-17,Castle on a Cloud,5QQixeNGIo2pQi0qC777Rh,30,Angel Haze,0.778,0.627,7,-6.334,1,0.309,7.14e-06,0.125,0.535,152.974,199784,4,True,18.0,1.0,11.0,5FsWjxWO600RCZ6FhSkge7,album
8,Angel Haze,Reservation,2013-07-17,Suffering's First (feat. Sara Tavares),2mva8fDtiML91pwXb5GUtU,30,Angel Haze,0.602,0.711,4,-6.996,0,0.281,0,0.0888,0.668,84.046,303360,4,True,17.0,1.0,12.0,5FsWjxWO600RCZ6FhSkge7,album
9,Angel Haze,Reservation,2013-07-17,Drop It,5AzVf72bipqz0tvjUVB4eZ,30,Angel Haze,0.69,0.904,3,-2.345,0,0.0975,0,0.0693,0.916,145.94,200150,4,True,14.0,1.0,13.0,5FsWjxWO600RCZ6FhSkge7,album
10,Angel Haze,Reservation,2013-07-17,Smiles n Hearts,36uIgZABtDWzOdokdntYtx,30,Angel Haze,0.731,0.689,0,-6.08,0,0.311,1.58e-05,0.379,0.479,125.374,380813,4,True,15.0,1.0,14.0,5FsWjxWO600RCZ6FhSkge7,album
11,Angel Haze,Back to the Woods,2015-09-15,D-Day,3mT4mGHkAOQiBYm3Qejhd9,43,Angel Haze,0.614,0.881,10,-6.707,0,0.308,4.17e-05,0.089,0.543,110.202,96243,4,True,21.0,1.0,1.0,6a2TzyEO253B3Rb37o2dL7,album
12,Angel Haze,Back to the Woods,2015-09-15,Impossible,0VEQdqorsI0rScglzVJsaa,43,Angel Haze,0.813,0.88,7,-5.24,1,0.237,0,0.105,0.819,129.994,179827,4,True,25.0,1.0,2.0,6a2TzyEO253B3Rb37o2dL7,album
13,Angel Haze,Back to the Woods,2015-09-15,On Fire,289TfYGTKB3ssMELHK5K55,43,Angel Haze,0.506,0.78,1,-7.255,1,0.365,9.82e-06,0.342,0.331,105.026,166653,4,True,21.0,1.0,3.0,6a2TzyEO253B3Rb37o2dL7,album
14,Angel Haze,Back to the Woods,2015-09-15,The Wolves,107gBT9fxcFsPYbihAHcPV,43,Angel Haze,0.535,0.834,8,-7.517,0,0.526,0.00485,0.219,0.388,119.791,220813,4,True,25.0,1.0,4.0,6a2TzyEO253B3Rb37o2dL7,album
15,Angel Haze,Back to the Woods,2015-09-15,Moonrise Kingdom,7xMNQlcI9Djbf0421BXLZd,43,Angel Haze,0.576,0.767,3,-6.929,0,0.145,0.00413,0.0954,0.197,151.962,267383,4,True,48.0,1.0,5.0,6a2TzyEO253B3Rb37o2dL7,album
16,Angel Haze,Back to the Woods,2015-09-15,Detox,1dJ07sXt1EAMFV3eLpkxTw,43,Angel Haze,0.545,0.548,5,-8.353,0,0.29,1.19e-05,0.307,0.0708,99.781,336900,4,True,21.0,1.0,6.0,6a2TzyEO253B3Rb37o2dL7,album
17,Angel Haze,Back to the Woods,2015-09-15,Dark Places,21tf8QdqZVle6eq9ROHrmj,43,Angel Haze,0.42,0.735,2,-7.778,0,0.242,0,0.108,0.156,123.131,275747,4,True,22.0,1.0,7.0,6a2TzyEO253B3Rb37o2dL7,album
