,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Saweetie,Up Now (feat. G-Eazy and Rich The Kid),2018-08-22,Up Now (feat. G-Eazy and Rich The Kid),01TreyTchXP0J1Mn6wcVHt,47,ICY/Artistry Records/Warner Records,0.956,0.544,1,-6.41,1,0.0822,0,0.104,0.127,104.011,198088,4,True,54.0,1.0,1.0,3joOEhJbsckuCFIF5G8veI,single
1,Killumantii,Yellow Tape,2018-11-09,Envious (feat. Juicy J),6Ya68IPjptq1DYiQsqGpEU,54,Generation Now/Atlantic,0.885,0.735,11,-6.869,0,0.19,0,0.0976,0.892,150.98,216630,4,True,44.0,1.0,5.0,0TroBvRGd0frXPVgWfx8QK,album
2,Kamaiyah,Addicted To Ballin' (feat. ScHoolboy Q),2018-06-08,Addicted To Ballin' (feat. ScHoolboy Q),27Lpp9GctfJnMlMf9hNhme,33,Interscope,0.667,0.459,4,-6.476,0,0.426,0,0.0951,0.186,99.883,163840,4,True,40.0,1.0,1.0,6GVXAGgGFqnUHaSkGngv0b,single
3,DaniLeigh,Lil Bebe,2018-07-20,Lil Bebe,7esO3L3DP7bM2OOd0Rdb4W,0,Def Jam Recordings,0.832,0.485,1,-4.521,1,0.086,0,0.111,0.0721,136.039,174320,4,False,0.0,1.0,1.0,0slBPOEcQSV6zv4M9Q8ZC3,single
4,Tierra Whack,Whack World,2018-05-30,Hungry Hippo,0WpDeBJ22LcwF4QoERQOTv,64,Tierra Whack,0.893,0.61,4,-5.691,0,0.0488,0.00744,0.102,0.778,136.64,60000,4,True,64.0,1.0,7.0,3ogNAkUhvQy0cFOfLoR6Y8,album
5,Leikeli47,Design,2018-11-07,Droppin',1j9CNwPqACKmcw38JGFAkN,0,Hardcover/RCA Records,0.908,0.47,1,-6.634,0,0.233,0.000612,0.0963,0.315,140.01,221253,4,True,0.0,1.0,1.0,2gYB33q8BWOkrkwoH5mVys,single
6,Asian Doll,So Icy Princess,2018-10-17,1017 (feat. Gucci Mane & Yung Mal),0t0qLzCLI1mlQKbFyzlIEv,43,1017 Eskimo / Alamo Records,0.813,0.593,1,-8.604,1,0.176,0,0.185,0.626,74.982,243252,4,True,34.0,1.0,3.0,3Auk6Wl8cYEGo8LkTA3Z6W,album
7,DreamDoll,Everything Nice,2018-10-12,Everything Nice,7luZH5bMPxagI44Y2yc5sr,35,Not specified,0.864,0.7,10,-4.523,0,0.256,1.28e-06,0.186,0.6,140.007,171637,4,True,42.0,1.0,1.0,30cSuuM9Dq8Pv8a8a08efd,single
8,Stefflon Don,SECURE,2018-08-17,What You Want,2CpnVLGUCb3yKVpghYsbBL,50,Polydor Records,0.509,0.744,8,-4.936,0,0.074,1.33e-05,0.135,0.415,152.262,267603,4,True,38.0,1.0,5.0,5asFxV5BYQsPkI1IaIOGAU,album
9,BIA,HOLLYWOOD,2018-09-14,HOLLYWOOD,1gVrmubxd0344yczu7EXjQ,32,RCA Records/i am OTHER,0.981,0.504,6,-8.133,1,0.0856,0,0.128,0.811,125.99,213312,4,True,39.0,1.0,1.0,5NOk5HClnVQvho2fB1p3eN,single
10,Melii,Icey,2018-03-12,Icey,0GpaZjcvRnIqVrtLqrzRdp,43,Rule #1 Music Inc / Interscope P/S,0.942,0.517,7,-7.176,1,0.311,7.11e-06,0.118,0.419,120.148,148252,4,True,50.0,1.0,1.0,6HEC99w0ioHY2ePrKLxBRw,single
11,Khia,Ka$H Only,2018-10-30,Ka$H Only,1jdXOVFQIaUqvB2Ay7NLyu,22,T.M.E,0.955,0.848,11,-5.018,0,0.102,0,0.237,0.3,102.005,239971,4,True,29.0,1.0,1.0,7y2jGE6Gc5iHxy98nX28zr,single
12,Nicki Minaj,Queen,2018-08-10,Barbie Dreams,6Poyf51k7W3NKnsGwAI90B,73,Young Money/Cash Money Records,0.85,0.787,8,-4.134,0,0.338,0,0.194,0.7,87.983,279867,4,True,66.0,1.0,3.0,2acDkDTWdNFie1HjcFa4Ny,album
13,Leikeli47,Acrylic,2018-11-15,Tic Boom,4PmkC36OomgeCpCI4ltL1Q,54,Hardcover/RCA Records,0.419,0.761,8,-4.284,0,0.314,1.19e-05,0.109,0.942,203.558,174360,3,True,40.0,1.0,3.0,69GP3by8YMB8yz0pG03DWl,album
14,Queen Key,My Way (Remix),2018-10-19,My Way (Remix),11YP90W36r34d2qrjAcPq4,29,Machine Entertainment Group,0.849,0.843,2,-3.246,1,0.363,0,0.0868,0.5,139.939,207430,4,True,36.0,1.0,1.0,1tA4lVAHNN3vzi1wkib765,single
15,Dreezy,Where Them $ @,2018-06-12,Where Them $ @,6kp2h1BjSs6iKVgpzhwi8h,0,Interscope Records,0.908,0.525,4,-7.343,0,0.0997,0.00893,0.175,0.34,85.505,193575,4,True,0.0,1.0,1.0,72sEbqaQn11rlQbguRtFPj,single
16,Cardi B,Invasion of Privacy,2018-04-06,Bickenhead,17Yq72h0p15OhCbZ5lJ5gd,82,Atlantic/KSR,0.884,0.814,7,-5.333,1,0.303,1.67e-06,0.158,0.907,155.938,181624,4,True,60.0,1.0,3.0,4KdtEKjY3Gi0mKiSdy96ML,album
