,artist,album,release_date,track_name,track_id,album_popularity,label,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,popularity,disc_number,track_number,album_id,album_type
0,Big K.R.I.T.,R4 The Prequel,2011-01-01,Country Sh*t (Remix),7lP8cYiy9vyrOx7p2Xp3Cu,0,Universal Music Group,0.754,0.585,0,-5.466,1,0.039,0,0.462,0.224,128.041,241880,4,True,0.0,1.0,2.0,51uGsBQOmEtMctKYvaEwvH,single
1,Rich Boy,Rich Boy,2007-01-01,Throw Some D's Remix,1qXLj4ywjsA0hGmaibmnn3,54,Zone 4 / Rich Boy / IGA,0.681,0.727,1,-5.086,0,0.323,0,0.074,0.347,160.882,351053,4,True,50.0,1.0,16.0,2rc1SMjRPvuZnlqQEtI6F9,album
2,Nelly,Best Of Nelly,2009-01-01,Ride Wit Me,5x2TDyeeTpf0riUoQDrvsV,53,Motown,0.85,0.707,7,-6.507,1,0.0482,2.58e-06,0.252,0.725,101.868,291933,4,True,58.0,1.0,2.0,7kL2kX4AeR1eUR9bz2mbNe,compilation
3,Ludacris,Back For The First Time,2000-01-01,What's Your Fantasy (Featuring Shawna),6FRKXHaEQixs1tSWsQesMN,0,Universal Music Group,0.915,0.79,6,-3.186,0,0.207,0,0.112,0.967,140.095,275907,4,True,0.0,1.0,4.0,2zMzHUT39oZ6YhbdXt7JCT,album
4,Soulja Boy,iSouljaBoyTellem,2008-01-01,Turn My Swag On,4iZw1PXbhdykKD2ZKgbZow,0,Universal Music Group,0.543,0.707,3,-3.107,0,0.0269,0,0.414,0.491,150.336,206333,4,False,0.0,1.0,3.0,0QvBnezKARnv2SzgW5Le1t,album
5,Various Artists,Highlights from Stomp the Yard,2011-08-16,"Pop, Lock & Drop It",4Vs8nLCu2AK9ec9QiCd4hJ,23,Platinum Collection,0.805,0.809,9,-5.826,1,0.267,0,0.0972,0.713,143.969,260733,4,False,20.0,1.0,4.0,13vzURZ4ysMf7H4EyYd6vj,compilation
6,UGK,Super Tight,1994-08-30,"Front, Back & Side to Side",0z4Ryh7Qg9jKOQXzkUZLVK,44,Jive,0.818,0.633,2,-5.598,1,0.105,1.47e-05,0.0444,0.803,150.0,313800,4,True,47.0,1.0,7.0,4rjGyhPnaKV5hfwFNiHtQA,album
7,UGK,Quit Hatin' the South (feat. Charlie Wilson & Willie D),2007-02-27,Quit Hatin' the South (feat. Charlie Wilson & Willie D),7do482cI4q6YgvywYKRWpi,25,Jive,0.755,0.656,2,-6.361,0,0.282,0,0.114,0.781,159.825,369427,4,True,32.0,1.0,1.0,43XDVMxfto2FBYe1PQ1aEI,single
8,DJ Chose,Everywhere I Go (feat. MC Beezy) - Single,2015-07-10,Everywhere I Go,5Rkg2HQJjPM1VWDNJNS7fE,30,Think It's A Game Records,0.775,0.522,6,-5.629,1,0.0467,0,0.0783,0.427,85.016,238237,4,True,37.0,1.0,1.0,5smneIeIPuQm02oBWviFeH,single
9,Lil Keke,The Commission,1998,Southside,1diqY2tozk63skJIQrCkq1,28,Seven 13 Music,0.857,0.7,3,-8.471,0,0.234,0.00195,0.0817,0.761,86.03,293160,4,True,23.0,1.0,1.0,0U77Ajewfex1KpK3sUbJVv,album
10,T-Wayne,Nasty Freestyle,2015-05-04,Nasty Freestyle,0PT7nlpo11hYYyfnBgtilT,58,300 Entertainment/Unauthorized Entertinament,0.779,0.472,11,-7.116,1,0.218,0,0.114,0.412,135.051,142212,4,True,65.0,1.0,1.0,7BqiR1ZnYFkcOnoNIpk7bS,single
11,Dice Soho,0 Degrees,2016-01-14,Just Watch (feat. Trill Sammy),5gq5Nd94U4gkM9ZhyJCbHS,23,Icey Life Records,0.538,0.91,11,-3.747,1,0.429,0,0.0611,0.661,124.938,184320,4,True,26.0,1.0,5.0,3kUjBb4EkTqMLQNHABzP1d,album
